% ra (nm),rc (nm),"Total transmittance (1), Global Variable Probe 2"
150,300,0.96295573
150,310,0.9644324
150,320,0.966754481
150,330,0.969754532
150,340,0.973299309
150,350,0.977180243
150,360,0.981222579
150,370,0.985204368
150,380,0.988898534
150,390,0.99214437
150,400,0.994770206
150,410,0.996671638
150,420,0.997760442
150,430,0.998046523
150,440,0.997532416
150,450,0.996316121
150,460,0.994513338
150,470,0.992271814
150,480,0.98977937
150,490,0.987166353
150,500,0.984631335
150,510,0.982355965
150,520,0.980436639
150,530,0.979022022
150,540,0.978138055
150,550,0.977909333
150,560,0.978271963
150,570,0.979222414
150,580,0.980712157
150,590,0.982667029
150,600,0.984939311
150,610,0.98744785
150,620,0.990010606
150,630,0.992511555
150,640,0.994823791
150,650,0.996805219
150,660,0.998369802
150,670,0.999430564
150,680,0.999948282
150,690,0.999914864
150,700,0.999356618
150,710,0.99831797
150,720,0.996891949
150,730,0.995165748
