x,y,z
125,300,0.96692707
125,325,0.969429399
125,350,0.976272707
125,375,0.985219734
125,400,0.993566351
125,425,0.998747214
125,450,0.999492596
125,475,0.996073479
125,500,0.990175799
125,525,0.984135154
125,550,0.980105247
125,575,0.979298624
125,600,0.981931605
125,625,0.987024025
125,650,0.99286251
125,675,0.997566194
125,700,0.999627136
125,725,0.998592223
125,750,0.995048075
125,775,0.990430018
125,800,0.986446481
150,300,0.963034573
150,325,0.968170685
150,350,0.97717689
150,375,0.987019415
150,400,0.99463635925
150,425,0.99792779
150,450,0.996413105
150,475,0.991274895
150,500,0.9850523255
150,525,0.979690629
150,550,0.9780647883333332
150,575,0.979906589
150,600,0.9849418096666667
150,625,0.991326695
150,650,0.996786461
150,675,0.999762726
150,700,0.999390993
150,725,0.996035663
150,750,0.9914702065
150,775,0.987072887
150,800,0.984857423
175,300,0.9531486
175,325,0.962030427
175,350,0.973751503
175,375,0.984478601
175,400,0.9907924979999999
175,425,0.99149959
175,450,0.98760331
175,475,0.981398698
175,500,0.975910025
175,525,0.972726656
175,550,0.9749966695000001
175,575,0.980589481
175,600,0.988050493
175,625,0.994978025
175,650,0.998836821
175,675,0.998967999
175,700,0.995804723
175,725,0.990538872
175,750,0.9862596415
175,775,0.983602235
175,800,0.984461826
200,300,0.948052378
200,325,0.958885622
200,350,0.968867962
200,375,0.975470123
200,400,0.9765556390000001
200,425,0.974175139
200,450,0.9697535485
200,475,0.965795711
200,500,0.9640883899999999
200,525,0.96592396
200,550,0.973501391
200,575,0.982404918
200,600,0.990443361
200,625,0.996815118
200,650,0.9982880215000001
200,675,0.996282548
200,700,0.9924340415
200,725,0.987807672
200,750,0.9858324465
200,775,0.985758118
200,800,0.988622592
225,300,0.95931547
225,325,0.96510061
225,350,0.9695588126666667
225,375,0.9729035869999999
225,400,0.9755883194999999
225,425,0.9772231055
225,450,0.9788762289999999
225,475,0.981501557
225,500,0.9851728795
225,525,0.989903913
225,550,0.9932105945
225,575,0.995929258
225,600,0.995130258
225,625,0.991256967
225,650,0.985491057
225,675,0.978560556
225,700,0.973506816
225,725,0.9715399
225,750,0.97341214
225,775,0.978543427
225,800,0.985474018
250,300,0.9709146
250,325,0.972089414
250,350,0.972780906
250,375,0.9736697186666667
250,400,0.9741188183333334
250,425,0.975782953
250,450,0.97770961825
250,475,0.9811447529999999
250,500,0.98444899825
250,525,0.988100027
250,550,0.9887790683333333
250,575,0.986809348
250,600,0.98358248075
250,625,0.976687462
250,650,0.9732884835
250,675,0.969704155
250,700,0.971632575
250,725,0.977237817
250,750,0.984884249
250,775,0.992251605
250,800,0.997144086
275,300,0.971707816
275,325,0.970498031
275,350,0.9701117496666667
275,375,0.971494897
275,400,0.971284593
275,425,0.973599729
275,450,0.9768962913333334
275,475,0.979735391
275,500,0.9817581350000001
275,525,0.980992126
275,550,0.9800490065
275,575,0.97727466
275,600,0.976530557
275,625,0.976648477
275,650,0.980023077
275,675,0.985332445
275,700,0.991301726
275,725,0.996490641
275,750,0.999415502
275,775,0.999046978
275,800,0.995041008
300,300,0.968167582
300,325,0.965350793
300,350,0.9654705724999999
300,375,0.966046631
300,400,0.96760375125
300,425,0.9706416579999999
300,450,0.9734024080000001
300,475,0.975294618
300,500,0.97684484525
300,525,0.975639698
300,550,0.9781253830000001
300,575,0.979196457
300,600,0.9834749273333333
300,625,0.987686556
300,650,0.992512752
300,675,0.996706657
300,700,0.999398782
300,725,0.999642658
300,750,0.996736108
300,775,0.990674912
300,800,0.982553629
325,300,0.961304073
325,325,0.95891937
325,350,0.959582249
325,375,0.960561837
325,400,0.9632907635
325,425,0.965545457
325,450,0.968458218
325,475,0.970572374
325,500,0.974479967
325,525,0.977746906
325,550,0.982665437
325,575,0.987108597
325,600,0.9912986855
325,625,0.995110526
325,650,0.997660404
325,675,0.998579815
325,700,0.997274047
325,725,0.993395151
325,750,0.987263678
325,775,0.980069756
325,800,0.973674063
350,300,0.931355447
350,325,0.932854366
350,350,0.937435103
350,375,0.9446999279999999
350,400,0.9561535405
350,425,0.969482866
350,450,0.9829821919999999
350,475,0.992740178
350,500,0.998223877
350,525,0.999723436
350,550,0.998360007
350,575,0.995229274
350,600,0.9903755075
350,625,0.983730547
350,650,0.975476672
350,675,0.966174172
350,700,0.957194246
350,725,0.951208937
350,750,0.950491969
350,775,0.955587033
350,800,0.965232868
