% ra (nm),rc (nm),"Total transmittance (1), Global Variable Probe 2"
225,350,0.968876085
225,360,0.970399666
225,370,0.971715475
225,380,0.972801151
225,390,0.973701427
225,400,0.97440479
225,410,0.975077365
225,420,0.975705054
225,430,0.976384841
225,440,0.977143951
225,450,0.978076734
225,460,0.979185407
225,470,0.980456665
225,480,0.981927236
225,490,0.983562791
225,500,0.985308573
225,510,0.987152565
225,520,0.988989337
225,530,0.990787563
225,540,0.992443799
225,550,0.993871189
225,560,0.994979507
225,570,0.995718402
225,580,0.996011073
225,590,0.995824596
225,600,0.995127344
225,610,0.993914578
225,620,0.992247951
225,630,0.990158274
225,640,0.987784819
225,650,0.985153481
225,660,0.982474436
225,670,0.979834434
225,680,0.977348538
225,690,0.975237209
225,700,0.973506816
225,710,0.972275843
225,720,0.971656975
225,730,0.971651937
225,740,0.972251705
225,750,0.973413538
225,760,0.975183002
225,770,0.977307971
225,780,0.979817724
225,790,0.9825932
225,800,0.985476148
235,350,0.971875548
235,360,0.972985804
235,370,0.973952131
235,380,0.974811485
235,390,0.975553402
235,400,0.976251551
235,410,0.976889197
235,420,0.977548733
235,430,0.978244896
235,440,0.979033008
235,450,0.979911255
235,460,0.980915203
235,470,0.982047476
235,480,0.983312178
235,490,0.984668871
235,500,0.986096701
235,510,0.987529977
235,520,0.988944734
235,530,0.990252509
235,540,0.991387414
235,550,0.99224752
235,560,0.992785046
235,570,0.992934008
235,580,0.992628001
235,590,0.991855214
235,600,0.990592116
235,610,0.988894419
235,620,0.986788597
235,630,0.984388582
235,640,0.981774199
235,650,0.979085392
235,660,0.976462158
235,670,0.974044941
235,680,0.971966361
235,690,0.970372655
235,700,0.969299124
235,710,0.968882425
235,720,0.969110533
235,730,0.969989992
235,740,0.971509472
235,750,0.973610154
235,760,0.976179026
235,770,0.97907992
235,780,0.982195743
235,790,0.985368862
235,800,0.988525437
245,350,0.972625323
245,360,0.973340575
245,370,0.974011438
245,380,0.97467198
245,390,0.975306701
245,400,0.975955754
245,410,0.976625287
245,420,0.977347972
245,430,0.97814217
245,440,0.979015634
245,450,0.97999257
245,460,0.981067323
245,470,0.982230227
245,480,0.983503665
245,490,0.98479015
