% ra (nm),rc (nm),"Total transmittance (1), Global Variable Probe 2"
295,350,0.967727373
295,360,0.967821163
295,370,0.968086866
295,380,0.968551534
295,390,0.969126833
295,400,0.969872403
295,410,0.970661017
295,420,0.971488095
295,430,0.972352766
295,440,0.973180931
295,450,0.973977288
295,460,0.9746736
295,470,0.975284328
295,480,0.975718415
295,490,0.976050335
295,500,0.976256531
295,510,0.976357656
295,520,0.976413913
295,530,0.976425538
295,540,0.976513338
295,550,0.97673168
295,560,0.977134635
295,570,0.977759383
295,580,0.978659785
295,590,0.979833517
295,600,0.981234547
295,610,0.982847755
295,620,0.984638636
295,630,0.986543736
295,650,0.990529791
295,660,0.992469075
295,670,0.994321052
295,680,0.996025223
295,690,0.997515372
295,700,0.998700178
295,710,0.999533643
295,720,0.999942779
295,730,0.99987244
295,740,0.999273306
295,750,0.998132796
295,760,0.996448652
295,770,0.994229017
295,780,0.991572811
295,790,0.988516088
295,800,0.985183258
305,350,0.965945531
305,360,0.966060805
305,370,0.966329548
305,380,0.966741067
305,390,0.967336677
305,400,0.968002648
305,410,0.9687375
305,420,0.969519655
305,430,0.97029748
305,440,0.971063662
305,450,0.971754922
305,460,0.972422753
305,470,0.972978642
305,480,0.973469834
305,490,0.973912689
305,500,0.974321523
305,510,0.974736225
305,520,0.975195831
305,530,0.975766782
305,540,0.976502903
305,550,0.977417266
305,560,0.978560394
305,570,0.979893676
305,580,0.981415845
305,590,0.983120499
305,600,0.984910451
305,610,0.986764138
305,620,0.988654651
305,630,0.990544802
305,640,0.992383103
305,650,0.99413173
305,660,0.995738197
305,670,0.997145483
305,680,0.998310353
305,690,0.999166239
305,700,0.999657466
305,710,0.9997295
305,720,0.999334313
305,730,0.998434585
305,740,0.997015256
305,750,0.995112543
305,760,0.992730635
305,770,0.989951455
305,780,0.986824311
305,790,0.98354835
305,800,0.980171407
315,350,0.9636641
315,360,0.96378165
315,370,0.964066797
315,380,0.964542903
315,390,0.965111727
315,400,0.965780599
315,410,0.966515247
315,420,0.96730324
315,430,0.968108796
315,440,0.968914126
315,450,0.969680351
315,460,0.970422919
315,470,0.971158578
315,480,0.971865889
315,490,0.972624153
315,500,0.97339921
315,510,0.974316987
315,520,0.975355666
315,530,0.976543784
315,540,0.977922153
315,550,0.979429836
315,560,0.981111712
315,570,0.982851669
315,580,0.984697012
315,590,0.98656688
315,600,0.988420793
315,610,0.990238763
315,620,0.991996035
315,630,0.99364556
315,640,0.995164439
315,650,0.99650531
315,660,0.997647049
315,670,0.9985292
315,680,0.99909262
315,690,0.99930167
315,700,0.999102708
315,710,0.998459389
315,720,0.997354487
315,730,0.995783311
315,740,0.9937586
315,750,0.991323541
315,760,0.988530241
315,770,0.985520108
315,780,0.982358112
315,790,0.979182574
315,800,0.976164785
325,350,0.96097637
325,360,0.961132234
325,370,0.961508403
325,380,0.961990301
325,390,0.96266498
325,400,0.963383313
325,410,0.964236389
325,420,0.965094157
325,430,0.966012583
325,440,0.966961964
325,450,0.967926865
325,460,0.968936883
325,470,0.969993251
325,480,0.971151719
325,490,0.972388926
325,500,0.973753094
325,510,0.975254366
325,520,0.976864553
325,530,0.978623032
325,540,0.980454241
325,550,0.982357431
325,560,0.984281421
325,570,0.986179666
325,580,0.988023967
325,590,0.989790658
325,600,0.991460964
325,610,0.993033751
325,630,0.995719134
325,640,0.996793719
325,650,0.997654052
325,660,0.998250391
325,670,0.99855522
325,680,0.998509955
325,690,0.998096431
325,700,0.997272722
325,710,0.996032076
325,720,0.994375303
325,730,0.992320679
325,740,0.989913217
325,750,0.987252813
325,760,0.984425117
325,770,0.981499705
325,780,0.97865269
325,790,0.97600607
325,800,0.973669731
335,350,0.957328889
335,360,0.95770289
335,370,0.958291198
335,380,0.959003031
335,390,0.959900524
335,400,0.960877116
335,410,0.96198142
335,420,0.963204919
335,430,0.964490875
335,440,0.965907209
335,450,0.967346799
335,460,0.968913187
335,470,0.970602439
335,480,0.972355872
335,490,0.974244944
335,500,0.976216768
335,510,0.978272619
