x,y,z
150.0,350.0,0.976980039
150.0,400.0,0.994632673
150.0,450.0,0.99632311
150.0,500.0,0.9846243
150.0,550.0,0.977771664
150.0,600.0,0.984853928
150.0,650.0,0.996805826
150.0,700.0,0.999339082
150.0,750.0,0.991273773
150.0,800.0,0.984588583
150.0,850.0,0.987944477
150.0,900.0,0.996478416
200.0,350.0,0.950368565
200.0,400.0,0.991949368
200.0,450.0,0.991702584
200.0,500.0,0.980808757
200.0,550.0,0.97699703
200.0,600.0,0.995324141
200.0,650.0,0.994758014
200.0,700.0,0.979127401
200.0,750.0,0.968441594
200.0,800.0,0.975340319
200.0,850.0,0.99141249
200.0,900.0,0.998597744
250.0,350.0,0.016125137
250.0,400.0,0.349807241
250.0,450.0,0.566434949
250.0,500.0,0.657559467
250.0,550.0,0.750270508
250.0,600.0,0.839676704
250.0,650.0,0.882596841
250.0,700.0,0.905291169
250.0,750.0,0.937454344
250.0,800.0,0.105911246
250.0,850.0,0.996587626
250.0,900.0,0.983564222
300.0,350.0,0.863818339
300.0,400.0,0.421251778
300.0,450.0,0.327779254
300.0,500.0,0.225431255
300.0,550.0,0.193384257
300.0,600.0,0.145748437
300.0,650.0,0.019699084
300.0,700.0,0.230065826
300.0,750.0,0.769699988
300.0,800.0,0.929466857
300.0,850.0,0.873927048
300.0,900.0,0.907416212
350.0,350.0,0.780795841
350.0,400.0,0.000154
350.0,450.0,0.433942233
350.0,500.0,0.631862639
350.0,550.0,0.794407007
350.0,600.0,0.136192524
350.0,650.0,0.028965125
350.0,700.0,0.16500893
350.0,750.0,0.345228121
350.0,800.0,0.413383523
350.0,850.0,0.230224667
350.0,900.0,0.637743186
400.0,350.0,0.03676921
400.0,400.0,0.55015802
400.0,450.0,0.40015905
400.0,500.0,0.952243096
400.0,550.0,0.153905422
400.0,600.0,0.571654381
400.0,650.0,0.887897958
400.0,700.0,0.897548578
400.0,750.0,0.441020899
400.0,800.0,0.910112682
400.0,850.0,0.015789152
400.0,900.0,0.660057415
450.0,350.0,0.883742665
450.0,400.0,0.034662876
450.0,450.0,0.364748694
450.0,500.0,0.483021286
450.0,550.0,0.385356744
450.0,600.0,0.414534549
450.0,650.0,0.24611546
450.0,700.0,0.048241142
450.0,750.0,0.110655071
450.0,800.0,0.351283776
450.0,850.0,0.721604657
450.0,900.0,0.974171005
500.0,350.0,0.023338983
500.0,400.0,0.000203
500.0,450.0,0.091284608
500.0,500.0,0.336072708
500.0,550.0,0.907430062
500.0,600.0,0.156123107
500.0,650.0,0.016816601
500.0,700.0,0.001204718
500.0,750.0,0.113286774
500.0,800.0,0.004688559
500.0,850.0,0.12818303
500.0,900.0,0.749014675
