% px (nm),py (nm),"Total transmittance (1), Global Variable Probe 2"
300,300,0.87953
300,325,0.87397
300,350,0.8339864
300,375,0.89828419
300,400,0.908222182
300,425,0.918331544
300,450,0.922708227
300,475,0.939544572
300,500,0.950562229
300,525,0.962197177
300,550,0.972263577
300,575,0.967367438
300,600,0.963433921
325,300,0.873968425
325,325,0.885092653
325,350,0.896594955
325,375,0.908519329
325,400,0.920647339
325,425,0.932717011
325,450,0.944617184
325,475,0.95589996
325,500,0.966157135
325,525,0.972829447
325,550,0.976582167
325,575,0.979115914
325,600,0.980827602
350,300,0.879529702
350,325,0.891500405
350,350,0.903999609
350,375,0.916834894
350,400,0.929874068
350,425,0.94257656
350,450,0.954700717
350,475,0.96592028
350,500,0.974410045
350,525,0.978877908
350,550,0.981649865
350,575,0.983463677
350,600,0.984659386
375,300,0.885633177
375,325,0.898518654
375,350,0.911911517
375,375,0.92541483
375,400,0.93876872
375,425,0.951619018
375,450,0.963650423
375,475,0.973602635
375,500,0.978955921
375,525,0.982105934
375,550,0.984063444
375,575,0.985307503
375,600,0.986127829
400,300,0.892898603
400,325,0.90677866
400,350,0.920806024
400,375,0.934748308
400,400,0.948170887
400,425,0.960910428
400,450,0.971955322
400,475,0.978156345
400,500,0.981645242
400,525,0.983810631
400,550,0.985113846
400,575,0.985904355
400,600,0.986359378
425,300,0.901390591
425,325,0.916708099
425,350,0.931261903
425,375,0.945299401
425,400,0.958601878
425,425,0.970357849
425,450,0.977117062
425,475,0.980894013
425,500,0.983163679
425,525,0.98448653
425,550,0.985190143
425,575,0.985457301
425,600,0.985316741
450,300,0.912997381
450,325,0.928692782
450,350,0.943392559
450,375,0.957235992
450,400,0.9692876
450,425,0.976285314
450,450,0.980237684
450,475,0.982602709
450,500,0.983877327
450,525,0.984398028
450,550,0.984167766
450,575,0.983062551
450,600,0.976701357
475,300,0.926984442
475,325,0.942683059
475,350,0.957102467
475,375,0.968982516
475,400,0.975862127
475,425,0.979856194
475,450,0.982282814
475,475,0.983487775
475,500,0.983809127
475,525,0.983081858
475,550,0.976640625
475,575,0.974707564
475,600,0.973039959
500,300,0.943225484
500,325,0.958270558
500,350,0.96926743
500,375,0.97574273
500,400,0.979794858
500,425,0.982234701
500,450,0.983523158
500,475,0.983764378
500,500,0.982797473
500,525,0.97597637
500,550,0.974010443
500,575,0.972221417
500,600,0.970384729
525,300,0.961976702
525,325,0.969591884
525,350,0.975838362
525,375,0.979907004
525,400,0.982437252
525,425,0.983829386
525,450,0.984234786
525,475,0.98348465
525,500,0.976558892
525,525,0.974234812
525,550,0.97220603
525,575,0.970084777
525,600,0.96793223
550,300,0.969529969
550,325,0.975784344
550,350,0.979985575
550,375,0.982660586
550,400,0.984180648
550,425,0.984810592
550,450,0.984519672
550,475,0.978058233
550,500,0.975261893
550,525,0.972968526
550,550,0.970576371
550,575,0.968168382
550,600,0.965756582
575,300,0.972677991
575,325,0.979731082
575,350,0.982712438
575,375,0.984471885
575,400,0.985333197
575,425,0.985430323
575,450,0.984393943
575,475,0.976865583
575,500,0.974207206
575,525,0.971667336
575,550,0.968967264
575,575,0.966301664
575,600,0.963650714
600,300,0.979183269
600,325,0.982408178
600,350,0.984517762
600,375,0.985691409
600,400,0.986072833
600,425,0.98571794
600,450,0.979319707
600,475,0.976025342
600,500,0.973199048
600,525,0.970304844
600,550,0.967397138
600,575,0.964482933
600,600,0.961640215
625,300,0.980960337
625,325,0.984069864
625,350,0.985680469
625,375,0.986424309
625,400,0.986504132
625,425,0.985803835
625,450,0.978365606
625,475,0.975173976
625,500,0.972130918
625,525,0.969037239
625,550,0.965888064
625,575,0.962796426
625,600,0.959760697
650,300,0.982414827
650,325,0.984995075
650,350,0.986275983
650,375,0.986790688
650,400,0.986620188
650,425,0.982190143
650,450,0.977463315
650,475,0.974154376
650,500,0.970996929
650,525,0.96764039
650,550,0.964359006
650,575,0.961159014
650,600,0.957946634
325,300,0.87397
325,325,0.88509
