x,y,z
300.0,300.0,0.87953
300.0,325.0,0.87397
300.0,350.0,0.8339864
300.0,375.0,0.89828419
300.0,400.0,0.908222182
300.0,425.0,0.918331544
300.0,450.0,0.922708227
300.0,475.0,0.939544572
300.0,500.0,0.950562229
300.0,525.0,0.962197177
300.0,550.0,0.972263577
300.0,575.0,0.967367438
300.0,600.0,0.963433921
325.0,300.0,0.8739692125
325.0,325.0,0.8850913265
325.0,350.0,0.896594955
325.0,375.0,0.908519329
325.0,400.0,0.920647339
325.0,425.0,0.932717011
325.0,450.0,0.944617184
325.0,475.0,0.95589996
325.0,500.0,0.966157135
325.0,525.0,0.972829447
325.0,550.0,0.976582167
325.0,575.0,0.979115914
325.0,600.0,0.980827602
350.0,300.0,0.879529702
350.0,325.0,0.891500405
350.0,350.0,0.903999609
350.0,375.0,0.916834894
350.0,400.0,0.929874068
350.0,425.0,0.94257656
350.0,450.0,0.954700717
350.0,475.0,0.96592028
350.0,500.0,0.974410045
350.0,525.0,0.978877908
350.0,550.0,0.981649865
350.0,575.0,0.983463677
350.0,600.0,0.984659386
375.0,300.0,0.885633177
375.0,325.0,0.898518654
375.0,350.0,0.911911517
375.0,375.0,0.92541483
375.0,400.0,0.93876872
375.0,425.0,0.951619018
375.0,450.0,0.963650423
375.0,475.0,0.973602635
375.0,500.0,0.978955921
375.0,525.0,0.982105934
375.0,550.0,0.984063444
375.0,575.0,0.985307503
375.0,600.0,0.986127829
400.0,300.0,0.892898603
400.0,325.0,0.90677866
400.0,350.0,0.920806024
400.0,375.0,0.934748308
400.0,400.0,0.948170887
400.0,425.0,0.960910428
400.0,450.0,0.971955322
400.0,475.0,0.978156345
400.0,500.0,0.981645242
400.0,525.0,0.983810631
400.0,550.0,0.985113846
400.0,575.0,0.985904355
400.0,600.0,0.986359378
425.0,300.0,0.901390591
425.0,325.0,0.916708099
425.0,350.0,0.931261903
425.0,375.0,0.945299401
425.0,400.0,0.958601878
425.0,425.0,0.970357849
425.0,450.0,0.977117062
425.0,475.0,0.980894013
425.0,500.0,0.983163679
425.0,525.0,0.98448653
425.0,550.0,0.985190143
425.0,575.0,0.985457301
425.0,600.0,0.985316741
450.0,300.0,0.912997381
450.0,325.0,0.928692782
450.0,350.0,0.943392559
450.0,375.0,0.957235992
450.0,400.0,0.9692876
450.0,425.0,0.976285314
450.0,450.0,0.980237684
450.0,475.0,0.982602709
450.0,500.0,0.983877327
450.0,525.0,0.984398028
450.0,550.0,0.984167766
450.0,575.0,0.983062551
450.0,600.0,0.976701357
475.0,300.0,0.926984442
475.0,325.0,0.942683059
475.0,350.0,0.957102467
475.0,375.0,0.968982516
475.0,400.0,0.975862127
475.0,425.0,0.979856194
475.0,450.0,0.982282814
475.0,475.0,0.983487775
475.0,500.0,0.983809127
475.0,525.0,0.983081858
475.0,550.0,0.976640625
475.0,575.0,0.974707564
475.0,600.0,0.973039959
500.0,300.0,0.943225484
500.0,325.0,0.958270558
500.0,350.0,0.96926743
500.0,375.0,0.97574273
500.0,400.0,0.979794858
500.0,425.0,0.982234701
500.0,450.0,0.983523158
500.0,475.0,0.983764378
500.0,500.0,0.982797473
500.0,525.0,0.97597637
500.0,550.0,0.974010443
500.0,575.0,0.972221417
500.0,600.0,0.970384729
525.0,300.0,0.961976702
525.0,325.0,0.969591884
525.0,350.0,0.975838362
525.0,375.0,0.979907004
525.0,400.0,0.982437252
525.0,425.0,0.983829386
525.0,450.0,0.984234786
525.0,475.0,0.98348465
525.0,500.0,0.976558892
525.0,525.0,0.974234812
525.0,550.0,0.97220603
525.0,575.0,0.970084777
525.0,600.0,0.96793223
550.0,300.0,0.969529969
550.0,325.0,0.975784344
550.0,350.0,0.979985575
550.0,375.0,0.982660586
550.0,400.0,0.984180648
550.0,425.0,0.984810592
550.0,450.0,0.984519672
550.0,475.0,0.978058233
550.0,500.0,0.975261893
550.0,525.0,0.972968526
550.0,550.0,0.970576371
550.0,575.0,0.968168382
550.0,600.0,0.965756582
575.0,300.0,0.972677991
575.0,325.0,0.979731082
575.0,350.0,0.982712438
575.0,375.0,0.984471885
575.0,400.0,0.985333197
575.0,425.0,0.985430323
575.0,450.0,0.984393943
575.0,475.0,0.976865583
575.0,500.0,0.974207206
575.0,525.0,0.971667336
575.0,550.0,0.968967264
575.0,575.0,0.966301664
575.0,600.0,0.963650714
600.0,300.0,0.979183269
600.0,325.0,0.982408178
600.0,350.0,0.984517762
600.0,375.0,0.985691409
600.0,400.0,0.986072833
600.0,425.0,0.98571794
600.0,450.0,0.979319707
600.0,475.0,0.976025342
600.0,500.0,0.973199048
600.0,525.0,0.970304844
600.0,550.0,0.967397138
600.0,575.0,0.964482933
600.0,600.0,0.961640215
625.0,300.0,0.980960337
625.0,325.0,0.984069864
625.0,350.0,0.985680469
625.0,375.0,0.986424309
625.0,400.0,0.986504132
625.0,425.0,0.985803835
625.0,450.0,0.978365606
625.0,475.0,0.975173976
625.0,500.0,0.972130918
625.0,525.0,0.969037239
625.0,550.0,0.965888064
625.0,575.0,0.962796426
625.0,600.0,0.959760697
650.0,300.0,0.982414827
650.0,325.0,0.984995075
650.0,350.0,0.986275983
650.0,375.0,0.986790688
650.0,400.0,0.986620188
650.0,425.0,0.982190143
650.0,450.0,0.977463315
650.0,475.0,0.974154376
650.0,500.0,0.970996929
650.0,525.0,0.96764039
650.0,550.0,0.964359006
650.0,575.0,0.961159014
650.0,600.0,0.957946634
