% ra (nm),rc (nm),"Total transmittance (1), Global Variable Probe 2"
125,300,0.96692707
125,325,0.969429399
125,350,0.976272707
125,375,0.985219734
125,400,0.993566351
125,425,0.998747214
125,450,0.999492596
125,475,0.996073479
125,500,0.990175799
125,525,0.984135154
125,550,0.980105247
125,575,0.979298624
125,600,0.981931605
125,625,0.987024025
125,650,0.99286251
125,675,0.997566194
125,700,0.999627136
125,725,0.998592223
125,750,0.995048075
125,775,0.990430018
125,800,0.986446481
150,300,0.963034573
150,325,0.968170685
150,350,0.97717689
150,375,0.987019415
150,400,0.994672468
150,400,0.994600526
150,450,0.996413105
150,500,0.985054064
150,550,0.978148159
150,600,0.984917351
150,300,0.963034573
150,325,0.968170685
150,350,0.97717689
150,375,0.987019415
150,400,0.994672468
150,525,0.979690629
150,550,0.977896206
150,575,0.979906589
150,600,0.984952136
150,625,0.991326695
150,650,0.996827504
150,675,0.999762726
150,700,0.999343813
150,725,0.996035663
150,750,0.991320264
150,775,0.987072887
150,800,0.984746812
150,400,0.994599975
150,425,0.99792779
150,450,0.996413105
150,475,0.991274895
150,500,0.985050587
175,300,0.9531486
175,325,0.962030427
175,350,0.973751503
175,375,0.984478601
175,400,0.990929502
175,300,0.9531486
175,325,0.962030427
175,350,0.973751503
175,375,0.984478601
175,400,0.990929502
175,525,0.972726656
175,550,0.974783339
175,575,0.980589481
175,600,0.988154004
175,625,0.994978025
175,650,0.998927583
175,675,0.998967999
175,700,0.995592229
175,725,0.990538872
175,750,0.985963434
175,775,0.983602235
175,800,0.984291397
175,400,0.99051849
175,425,0.99149959
175,450,0.98760331
175,475,0.981398698
175,500,0.975910025
200,300,0.948052378
200,325,0.958885622
200,350,0.968867962
200,375,0.975470123
200,400,0.977080905
200,400,0.975990321
200,450,0.969890713
200,500,0.964090838
200,550,0.973687806
200,600,0.990130622
200,300,0.948052378
200,325,0.958885622
200,350,0.968867962
200,375,0.975470123
200,400,0.977080905
200,525,0.96592396
200,550,0.973126367
200,575,0.982404918
200,600,0.991078755
200,625,0.996815118
200,650,0.998422746
200,675,0.996282548
200,700,0.992028106
200,725,0.987807672
200,750,0.985423473
200,775,0.985758118
200,800,0.988622592
200,400,0.976070425
200,425,0.974175139
200,450,0.969616384
200,475,0.965795711
200,500,0.964085942
225,300,0.95931547
225,325,0.96510061
225,350,0.969905003
225,375,0.973212713
225,400,0.975368073
225,300,0.95931547
225,325,0.96510061
225,350,0.969905003
225,375,0.973212713
225,400,0.975368073
225,350,0.968866432
225,375,0.972285335
225,400,0.974404377
225,425,0.976057758
225,450,0.978073944
225,475,0.981165639
225,500,0.985308573
225,525,0.989903913
225,550,0.993871189
225,575,0.995929258
225,600,0.995130258
225,625,0.991256967
225,650,0.985152114
225,675,0.978560556
225,700,0.973506816
225,725,0.9715399
225,750,0.97341214
225,775,0.978543427
225,800,0.985474018
225,400,0.977212755
225,425,0.978388453
225,450,0.979678514
225,475,0.981837475
225,500,0.985037186
250,300,0.9709146
250,325,0.972089414
250,350,0.972828118
250,375,0.973481566
250,400,0.974395097
250,400,0.973027407
250,450,0.976405129
250,500,0.98353723
250,550,0.988672967
250,600,0.984377146
250,300,0.9709146
250,325,0.972089414
250,350,0.972828118
250,375,0.973481566
250,400,0.974395097
250,400,0.974395097
250,450,0.978259343
250,500,0.984992864
250,550,0.988931521
250,600,0.983174668
250,350,0.972686482
250,375,0.974046024
250,400,0.975472745
250,425,0.977340529
250,450,0.979723775
250,475,0.982692233
250,500,0.985739669
250,525,0.988100027
250,550,0.988732717
250,575,0.986809348
250,600,0.982398109
250,625,0.976687462
250,650,0.971816967
250,675,0.969704155
250,700,0.971632575
250,725,0.977237817
250,750,0.984884249
250,775,0.992251605
250,800,0.997144086
250,400,0.973027467
250,425,0.974225377
250,450,0.976450226
250,475,0.979597273
250,500,0.98352623
275,300,0.971707816
275,325,0.970498031
275,350,0.969775584
275,300,0.971707816
275,325,0.970498031
275,350,0.969775584
275,400,0.971585193
275,450,0.977058658
275,500,0.981599776
275,550,0.980675858
275,600,0.977195772
275,350,0.970784081
275,375,0.971494897
275,400,0.973110624
275,425,0.975322129
275,450,0.977809291
275,475,0.979935697
275,500,0.981160869
275,525,0.980992126
275,550,0.979422155
275,575,0.97727466
275,600,0.975865342
275,625,0.976648477
275,650,0.980023077
275,675,0.985332445
275,700,0.991301726
275,725,0.996490641
275,750,0.999415502
275,775,0.999046978
275,800,0.995041008
275,400,0.969157962
275,425,0.971877329
275,450,0.975820925
275,475,0.979535085
275,500,0.98251376
300,400,0.966468012
300,450,0.973830696
300,500,0.978142975
300,550,0.979780435
300,600,0.984047206
300,400,0.968399158
300,450,0.973095674
300,500,0.976051944
300,550,0.977834914
300,600,0.983355262
300,350,0.967032728
300,375,0.967583377
300,400,0.969071164
300,425,0.970984055
300,450,0.972858629
300,475,0.974263977
300,500,0.975041705
300,525,0.975639698
300,550,0.9767608
300,575,0.979196457
300,600,0.983022314
300,625,0.987686556
300,650,0.992512752
300,675,0.996706657
300,700,0.999398782
300,725,0.999642658
300,750,0.996736108
300,775,0.990674912
300,800,0.982553629
300,400,0.966476671
300,425,0.970299261
300,450,0.973824633
300,475,0.976325259
300,500,0.978142757
325,400,0.963190384
325,450,0.968961497
325,500,0.975193672
325,550,0.982978069
325,600,0.991139341
325,350,0.960988131
325,375,0.96173622
325,400,0.963391143
325,425,0.965545457
325,450,0.967954939
325,475,0.970572374
325,500,0.973766262
325,525,0.977746906
325,550,0.982352805
325,575,0.987108597
325,600,0.99145803
325,625,0.995110526
325,650,0.997660404
325,675,0.998579815
325,700,0.997274047
325,725,0.993395151
325,750,0.987263678
325,775,0.980069756
325,800,0.973674063
350,300,0.931754239
350,350,0.937501444
350,400,0.955919258
350,450,0.982771811
350,500,0.998177217
350,550,0.998465623
350,600,0.990325552
350,650,0.975476672
350,700,0.957194246
350,750,0.950491969
350,800,0.965261107
350,400,0.956387823
350,450,0.983192573
350,500,0.998270537
350,550,0.998254391
350,600,0.990425463
350,350,0.937501444
350,375,0.944904773
350,400,0.955919258
350,425,0.969482866
350,450,0.982771811
350,475,0.992740178
350,500,0.998177217
350,525,0.999723436
350,550,0.998465623
350,575,0.995229274
350,600,0.990325552
350,625,0.983730547
350,650,0.975476672
350,675,0.966174172
350,700,0.957194246
350,725,0.951208937
350,750,0.950491969
350,775,0.955587033
350,800,0.965232868
375,300,0.949049002
375,350,0.943890865
375,400,0.945602523
375,450,0.955032696
375,500,0.969295526
375,550,0.980836413
375,600,0.988451726
375,650,0.991887709
375,700,0.991687952
375,750,0.993444441
375,800,0.998292324
400,300,0.844290056
400,350,0.677441381
400,400,0.7578947
400,450,0.90647053
400,500,0.893568532
400,550,0.802255244
400,600,0.808092157
400,650,0.892276517
400,700,0.809365795
400,750,0.583624893
400,800,0.468827269
425,300,0.95938761
425,350,0.91876851
425,400,0.864979649
425,450,0.648947134
425,500,0.838121871
425,550,0.991996881
425,600,0.990237418
425,650,0.966807694
425,700,0.897786762
425,750,0.806393201
425,800,0.826644621
450,300,0.888881696
450,350,0.728158127
450,400,0.977031777
450,450,0.937604382
450,500,0.746166157
450,550,0.761617114
450,600,0.890931456
450,650,0.721216225
450,700,0.515861456
450,750,0.671908437
450,800,0.81856085
500,300,0.918278709
500,350,0.868540748
500,400,0.763956572
500,450,0.694369581
500,500,0.7344259
500,550,0.940292272
500,600,0.810885595
500,650,0.657771956
500,700,0.499443678
500,750,0.350304034
500,800,0.079275289
