% ra (nm),rc (nm),"Total transmittance (1), Global Variable Probe 2"
225,350,0.968866432
225,375,0.972285335
225,400,0.974404377
225,425,0.976057758
225,450,0.978073944
225,475,0.981165639
225,500,0.985308573
225,525,0.989903913
225,550,0.993871189
225,575,0.995929258
225,600,0.995130258
225,625,0.991256967
225,650,0.985152114
225,675,0.978560556
225,700,0.973506816
225,725,0.9715399
225,750,0.97341214
225,775,0.978543427
225,800,0.985474018
250,350,0.972686482
250,375,0.974046024
250,400,0.975472745
250,425,0.977340529
250,450,0.979723775
250,475,0.982692233
250,500,0.985739669
250,525,0.988100027
250,550,0.988732717
250,575,0.986809348
250,600,0.982398109
250,625,0.976687462
250,650,0.971816967
250,675,0.969704155
250,700,0.971632575
250,725,0.977237817
250,750,0.984884249
250,775,0.992251605
250,800,0.997144086
275,350,0.970784081
275,375,0.971494897
275,400,0.973110624
275,425,0.975322129
275,450,0.977809291
275,475,0.979935697
275,500,0.981160869
275,525,0.980992126
275,550,0.979422155
275,575,0.97727466
275,600,0.975865342
275,625,0.976648477
275,650,0.980023077
275,675,0.985332445
275,700,0.991301726
275,725,0.996490641
275,750,0.999415502
275,775,0.999046978
275,800,0.995041008
300,350,0.967032728
300,375,0.967583377
300,400,0.969071164
300,425,0.970984055
300,450,0.972858629
300,475,0.974263977
300,500,0.975041705
300,525,0.975639698
300,550,0.9767608
300,575,0.979196457
300,600,0.983022314
300,625,0.987686556
300,650,0.992512752
300,675,0.996706657
300,700,0.999398782
300,725,0.999642658
300,750,0.996736108
300,775,0.990674912
300,800,0.982553629
325,350,0.960988131
325,375,0.96173622
325,400,0.963391143
325,425,0.965545457
325,450,0.967954939
325,475,0.970572374
325,500,0.973766262
325,525,0.977746906
325,550,0.982352805
325,575,0.987108597
325,600,0.99145803
325,625,0.995110526
325,650,0.997660404
325,675,0.998579815
325,700,0.997274047
325,725,0.993395151
325,750,0.987263678
325,775,0.980069756
325,800,0.973674063
350,350,0.937501444
350,375,0.944904773
350,400,0.955919258
350,425,0.969482866
350,450,0.982771811
350,475,0.992740178
350,500,0.998177217
350,525,0.999723436
350,550,0.998465623
350,575,0.995229274
350,600,0.990325552
350,625,0.983730547
350,650,0.975476672
350,675,0.966174172
350,700,0.957194246
350,725,0.951208937
350,750,0.950491969
350,775,0.955587033
350,800,0.965232868
