% ra (nm),rc (nm),"Total transmittance (1), Global Variable Probe 2"
250,400,0.974395097
250,450,0.978259343
250,500,0.984992864
250,550,0.988931521
250,600,0.983174668
275,400,0.971585193
275,450,0.977058658
275,500,0.981599776
275,550,0.980675858
275,600,0.977195772
300,400,0.968399158
300,450,0.973095674
300,500,0.976051944
300,550,0.977834914
300,600,0.983355262
325,400,0.963190384
325,450,0.968961497
325,500,0.975193672
325,550,0.982978069
325,600,0.991139341
350,400,0.956387823
350,450,0.983192573
350,500,0.998270537
350,550,0.998254391
350,600,0.990425463
