% ra (nm),rc (nm),"Total transmittance (1), Global Variable Probe 2"
325,425,0.965550708
325,435,0.966474094
325,445,0.967439668
325,455,0.968456245
325,465,0.96945938
325,475,0.970561331
325,485,0.971781341
325,495,0.973066606
325,505,0.974499318
325,515,0.976069264
325,525,0.977745864
325,535,0.97954237
325,545,0.981419464
325,555,0.983345557
325,565,0.985245901
325,575,0.987095984
325,585,0.988908496
325,595,0.990659817
325,605,0.99226149
325,615,0.993763917
325,625,0.995112813
335,425,0.963848145
335,435,0.965191997
335,445,0.966604475
335,455,0.968128018
335,465,0.9697588
335,475,0.971461172
335,485,0.973302088
335,495,0.975222803
335,505,0.977224157
335,515,0.97928224
335,525,0.981319711
335,535,0.98334692
335,545,0.985305425
335,555,0.987148859
335,565,0.988896544
335,575,0.99050256
335,585,0.991965608
335,595,0.993282189
335,605,0.994451027
335,615,0.995459661
335,625,0.996297476
345,425,0.964117782
345,435,0.966649432
345,445,0.969349953
345,455,0.972100123
345,465,0.974912936
345,475,0.977675395
345,485,0.980374655
345,495,0.982942754
345,505,0.985303008
345,515,0.987425383
345,525,0.989299034
345,535,0.99092712
345,545,0.992301558
345,555,0.993429396
345,565,0.994331984
345,575,0.995052116
345,585,0.995582436
345,595,0.995937405
345,605,0.996113327
345,615,0.996117644
345,625,0.995941332
355,425,0.93364605
355,435,0.930958417
355,445,0.927919995
355,455,0.92469879
355,465,0.921215441
355,475,0.918198037
355,485,0.915430211
355,495,0.913695483
355,505,0.91289237
355,515,0.913727584
355,525,0.916014458
355,535,0.92021922
355,545,0.925658581
355,555,0.93234991
355,565,0.93936218
355,575,0.947258201
355,585,0.954955052
355,595,0.962363044
355,605,0.969341131
355,615,0.975684943
355,625,0.981345466
365,425,0.949546008
365,435,0.950224936
365,445,0.951176089
365,455,0.952469883
365,465,0.954185107
365,475,0.956230815
365,485,0.958609948
365,495,0.961281631
365,505,0.964183784
365,515,0.967190834
365,525,0.970260802
365,535,0.973241287
365,545,0.976166106
365,555,0.978916962
