% ra (nm),rc (nm),"Total transmittance (1), Global Variable Probe 2"
125,300,0.966911466
125,315,0.967818812
125,330,0.970494278
125,345,0.974656031
125,360,0.979735553
125,375,0.985223742
125,390,0.990509692
125,405,0.994910764
125,420,0.99805549
125,435,0.99960005
125,450,0.999482698
125,465,0.997840844
125,480,0.994995404
125,495,0.991433379
125,510,0.987634752
125,525,0.984130429
125,540,0.98137627
125,555,0.979648581
125,570,0.979163319
125,585,0.97997679
125,600,0.981936973
125,615,0.984793789
125,630,0.988183869
125,645,0.991748455
125,660,0.99499057
125,675,0.997561052
125,690,0.999173051
125,705,0.999664499
125,720,0.999027497
125,735,0.997402374
125,750,0.995047318
125,765,0.992294605
125,780,0.989499167
125,795,0.987107459
125,810,0.985338226
125,825,0.98439771
125,840,0.984373534
