% ra (nm),rc (nm),"Total transmittance (1), Global Variable Probe 2"
225,300,0.958799565
225,310,0.960960538
225,320,0.963155483
225,330,0.965172701
225,340,0.967152888
225,350,0.968878063
225,360,0.970406957
225,370,0.971723893
225,380,0.972811274
225,390,0.973703868
225,400,0.974415738
225,410,0.975092911
225,420,0.975707788
225,430,0.976379093
225,440,0.977139203
225,450,0.978073979
225,460,0.979168424
225,470,0.980458959
225,480,0.981921543
225,490,0.983567253
225,500,0.985313006
225,510,0.987144836
225,520,0.988985172
225,530,0.990795065
225,540,0.992438262
225,550,0.993869102
225,560,0.994983459
225,570,0.995718003
225,580,0.996013499
225,590,0.995825772
225,600,0.995126242
225,610,0.993906478
225,620,0.992248765
225,630,0.990160548
225,640,0.987777111
225,650,0.985155074
225,660,0.98249206
225,670,0.979820673
225,680,0.977340102
225,690,0.97521632
225,700,0.973494228
225,710,0.972280253
225,720,0.971678633
225,730,0.971633278
225,740,0.972233913
225,750,0.973408402
225,760,0.975181734
225,770,0.977308606
225,780,0.979859273
225,790,0.982609312
225,800,0.985481807
225,810,0.988319867
225,820,0.991030408
225,830,0.993496743
225,840,0.995640122
225,850,0.997364224
235,300,0.964537236
235,310,0.9662145
235,320,0.967796828
235,330,0.969302992
235,340,0.970642358
235,350,0.971889212
235,360,0.972981246
235,370,0.973965436
235,380,0.974812171
235,390,0.975570697
235,400,0.976252354
235,410,0.976880923
235,420,0.977548273
235,430,0.978240332
235,440,0.97902608
235,450,0.979908184
235,460,0.980902355
235,470,0.98204591
235,480,0.983286278
235,490,0.984656129
235,500,0.986082089
235,510,0.987527526
235,520,0.988935329
235,530,0.990249303
235,540,0.99138865
235,550,0.9922555
235,560,0.992786318
235,570,0.992939493
235,580,0.992632976
235,590,0.991866083
235,600,0.990598168
235,610,0.988900372
235,620,0.986798782
235,630,0.984391454
235,640,0.981769954
235,650,0.979090779
235,660,0.976471143
235,670,0.974051536
235,680,0.971968507
235,690,0.970357736
235,700,0.969306469
235,710,0.968883702
235,720,0.969111352
235,730,0.970013185
235,740,0.971531146
235,750,0.973613549
235,760,0.976175377
235,770,0.979080202
235,780,0.9821963
235,790,0.985372977
235,800,0.988538361
235,810,0.991416415
235,820,0.993984084
235,830,0.996117906
235,840,0.997723658
235,850,0.998770995
245,300,0.968136614
245,310,0.969209147
245,320,0.970163777
245,330,0.971071488
245,340,0.971845432
245,350,0.972641674
245,360,0.973341226
245,370,0.974023921
245,380,0.974679044
245,390,0.975304276
245,400,0.975947194
245,410,0.976623934
245,420,0.977328092
245,430,0.978128365
245,440,0.978997214
