% ra (nm),rc (nm),"Total transmittance (1), Global Variable Probe 2"
225,600,0.995123446
225,610,0.993904811
225,620,0.992245302
225,630,0.990160548
225,640,0.98776845
225,650,0.985155303
225,660,0.982492021
225,670,0.979819234
225,680,0.977340803
225,690,0.975215288
225,700,0.973495052
225,710,0.972281118
225,720,0.971683779
225,730,0.971626273
225,740,0.972233746
225,750,0.973408778
225,760,0.975171158
225,770,0.977309357
225,780,0.979854813
225,790,0.982608929
225,800,0.98546989
235,600,0.990598714
235,610,0.988900372
235,620,0.986800046
235,630,0.984391454
235,640,0.981778884
235,650,0.979090019
235,660,0.976471143
235,670,0.974051536
235,680,0.971967235
235,690,0.970353574
235,700,0.969307512
235,710,0.9688888
235,720,0.969108874
235,730,0.970008118
235,740,0.971509632
235,750,0.973613549
235,760,0.976178305
235,770,0.979080761
235,780,0.982205202
235,790,0.985373288
235,800,0.988532964
245,600,0.985253673
245,610,0.983066365
245,620,0.980622196
245,630,0.978084826
245,640,0.975582866
245,650,0.973288246
245,660,0.971320871
245,670,0.969838736
245,680,0.968872647
245,690,0.968630068
245,700,0.969053563
245,710,0.970123227
245,720,0.971859407
245,730,0.974136741
245,740,0.976924598
245,750,0.979993592
245,760,0.983233836
245,770,0.986489384
245,780,0.989558792
245,790,0.992353819
245,800,0.994719748
255,600,0.979882543
255,610,0.977846235
255,620,0.975843956
255,630,0.974038561
255,640,0.972633616
255,650,0.971646193
255,660,0.971221153
255,670,0.971385977
255,680,0.972179208
255,690,0.973564728
255,700,0.975500283
255,710,0.97790966
255,720,0.980650814
255,730,0.98361348
255,740,0.98664551
255,750,0.989584638
255,760,0.992302048
255,770,0.994633639
255,780,0.996484008
255,790,0.997794223
255,800,0.998452209
265,600,0.976449527
265,610,0.975299042
265,620,0.974430558
265,630,0.974007828
265,640,0.974038095
265,650,0.974615088
265,660,0.975647212
265,670,0.977253817
265,680,0.979253407
265,690,0.981579055
265,700,0.984156947
265,710,0.986832404
265,720,0.989524112
265,730,0.992094729
265,740,0.994404028
265,750,0.996351535
265,760,0.997861414
265,770,0.998821311
265,780,0.999198318
265,790,0.998953291
265,800,0.998081998
275,600,0.975873278
275,610,0.975874544
275,620,0.976297799
275,630,0.977093639
275,640,0.978349564
275,650,0.980032799
275,660,0.981944028
275,670,0.984141224
275,680,0.986494585
275,690,0.988921518
275,700,0.991310339
275,710,0.993570567
275,720,0.995592983
275,730,0.997288566
275,740,0.998588427
275,750,0.999413421
275,760,0.99970732
275,770,0.999413489
275,780,0.998527297
275,790,0.99705804
275,800,0.995044113
285,600,0.977844978
285,610,0.978874154
285,620,0.9802215
285,630,0.981831724
285,640,0.983713772
285,650,0.985758984
285,660,0.987885271
285,670,0.990073266
285,680,0.992219803
285,690,0.994226588
285,700,0.99606387
285,710,0.99762432
285,720,0.998845255
285,730,0.999639739
285,740,0.999960496
285,750,0.999750176
285,760,0.998974295
285,770,0.997622999
285,780,0.995715312
285,790,0.993290861
285,800,0.990440021
295,600,0.981229231
295,610,0.982848352
295,620,0.984627177
295,630,0.986541084
