% ra (nm),rc (nm),"Total transmittance (1), Global Variable Probe 2"
225,550,0.993869102
225,560,0.994984032
225,570,0.995718596
225,580,0.996013497
225,590,0.995825773
225,600,0.995126242
225,610,0.993904811
225,620,0.992248617
225,630,0.990164072
225,640,0.987786494
225,650,0.985155303
225,660,0.982492021
225,670,0.979819234
225,680,0.977340803
225,690,0.975215288
225,700,0.973495052
225,710,0.972280278
225,720,0.971683779
225,730,0.971633278
225,740,0.972234012
225,750,0.973408778
225,760,0.975181734
225,770,0.977309357
225,780,0.979854813
225,790,0.982608929
225,800,0.985467269
235,550,0.99225535
235,560,0.992785956
235,570,0.9929395
235,580,0.992632973
235,590,0.991866083
235,600,0.99059656
235,610,0.988900372
235,620,0.986798593
235,630,0.984394374
235,640,0.981770284
235,650,0.979090019
235,660,0.976471143
235,670,0.974051536
235,680,0.971967235
235,690,0.970353574
235,700,0.969307512
235,710,0.968883762
235,720,0.969108874
235,730,0.970011998
235,740,0.971503085
235,750,0.973613549
235,760,0.976175449
235,770,0.979080761
235,780,0.982205202
235,790,0.985373288
235,800,0.988538225
245,550,0.990215251
245,560,0.990108454
245,570,0.989563292
245,580,0.98856989
245,590,0.987114385
245,600,0.985261786
245,610,0.983066365
245,620,0.98063302
245,630,0.978077697
245,640,0.9755874
245,650,0.973288246
245,660,0.971320871
245,670,0.969838736
245,680,0.968872647
245,690,0.968630068
245,700,0.969053563
245,710,0.97012001
245,720,0.971859407
245,730,0.974138822
245,740,0.976936002
245,750,0.979993592
245,760,0.983236903
245,770,0.986489384
245,780,0.989558792
245,790,0.992353819
245,800,0.994718538
255,550,0.986959371
255,560,0.98621634
255,570,0.985092119
255,580,0.983635669
255,590,0.981852399
255,600,0.979870834
255,610,0.977846235
255,620,0.975844956
255,630,0.974020555
255,640,0.972630315
255,650,0.971646193
255,660,0.971221153
255,670,0.971385977
255,680,0.972179208
255,690,0.973564728
255,700,0.975500283
255,710,0.977922244
255,720,0.980650814
255,730,0.983612274
255,740,0.986650052
255,750,0.989584638
255,760,0.992292198
255,770,0.994633639
255,780,0.996484008
255,790,0.997794223
255,800,0.998455237
265,550,0.982919184
265,560,0.981904589
265,570,0.980654291
265,580,0.979266546
265,590,0.977807519
265,600,0.976439894
265,610,0.975299042
265,620,0.974417304
265,630,0.974007224
265,640,0.974042695
265,650,0.974615088
265,660,0.975647212
265,670,0.977253817
265,680,0.979253407
265,690,0.981579055
265,700,0.984156947
265,710,0.986833763
265,720,0.989524112
265,730,0.992092876
265,740,0.994399069
265,750,0.996351535
265,760,0.997862339
265,770,0.998821311
265,780,0.999198318
265,790,0.998953291
265,800,0.998082561
275,550,0.979425619
275,560,0.97854595
275,570,0.9776705
275,580,0.976850109
275,590,0.976228003
275,600,0.975876923
275,610,0.975874544
275,620,0.976307344
275,630,0.977096249
275,640,0.97835127
275,650,0.980032799
275,660,0.981944028
275,670,0.984141224
275,680,0.986494585
275,690,0.988921518
275,700,0.991310339
275,710,0.99357326
275,720,0.995592983
275,730,0.997280396
275,740,0.998589682
275,750,0.999413421
275,760,0.9997051
275,770,0.999413489
275,780,0.998527297
275,790,0.99705804
275,800,0.995052084
285,550,0.977257321
285,560,0.976920463
285,570,0.976744708
285,580,0.976820475
285,590,0.977160168
285,600,0.977852963
285,610,0.978874154
285,620,0.980185888
285,630,0.981824148
285,640,0.983711166
285,650,0.985758984
285,660,0.987885271
285,670,0.990073266
285,680,0.992219803
285,690,0.994226588
285,700,0.99606387
285,710,0.997625989
285,720,0.998845255
285,730,0.999638778
285,740,0.999959981
285,750,0.999750176
285,760,0.998971811
285,770,0.997622999
285,780,0.995715312
285,790,0.993290861
285,800,0.990429052
295,550,0.976748045
295,560,0.977135732
295,570,0.977766496
295,580,0.978665352
295,590,0.979830552
295,600,0.981233317
295,610,0.982848352
295,620,0.984629533
295,630,0.986527029
