ra,rc,T,px,py
150.0,300,0.96295573,315.0,545.5960043841964
150.0,310,0.9644324,315.0,545.5960043841964
150.0,320,0.966754481,315.0,545.5960043841964
150.0,330,0.969754532,315.0,545.5960043841964
150.0,340,0.973299309,315.0,545.5960043841964
150.0,350,0.977180243,315.0,545.5960043841964
150.0,360,0.981222579,315.0,545.5960043841964
150.0,370,0.985204368,315.0,545.5960043841964
150.0,380,0.988898534,315.0,545.5960043841964
150.0,390,0.99214437,315.0,545.5960043841964
150.0,400,0.994770206,315.0,545.5960043841964
150.0,410,0.996671638,315.0,545.5960043841964
150.0,420,0.997760442,315.0,545.5960043841964
150.0,430,0.998046523,315.0,545.5960043841964
150.0,440,0.997532416,315.0,545.5960043841964
150.0,450,0.996316121,315.0,545.5960043841964
150.0,460,0.994513338,315.0,545.5960043841964
150.0,470,0.992271814,315.0,545.5960043841964
150.0,480,0.98977937,315.0,545.5960043841964
150.0,490,0.987166353,315.0,545.5960043841964
150.0,500,0.984631335,315.0,545.5960043841964
150.0,510,0.982355965,315.0,545.5960043841964
150.0,520,0.980436639,315.0,545.5960043841964
150.0,530,0.979022022,315.0,545.5960043841964
150.0,540,0.978138055,315.0,545.5960043841964
150.0,550,0.977909333,315.0,545.5960043841964
150.0,560,0.978271963,315.0,545.5960043841964
150.0,570,0.979222414,315.0,545.5960043841964
150.0,580,0.980712157,315.0,545.5960043841964
150.0,590,0.982667029,315.0,545.5960043841964
150.0,600,0.984939311,315.0,545.5960043841964
150.0,610,0.98744785,315.0,545.5960043841964
150.0,620,0.990010606,315.0,545.5960043841964
150.0,630,0.992511555,315.0,545.5960043841964
150.0,640,0.994823791,315.0,545.5960043841964
150.0,650,0.996805219,315.0,545.5960043841964
150.0,660,0.998369802,315.0,545.5960043841964
150.0,670,0.999430564,315.0,545.5960043841964
150.0,680,0.999948282,315.0,545.5960043841964
150.0,690,0.999914864,315.0,545.5960043841964
150.0,700,0.999356618,315.0,545.5960043841964
150.0,710,0.99831797,315.0,545.5960043841964
150.0,720,0.996891949,315.0,545.5960043841964
150.0,730,0.995165748,315.0,545.5960043841964
