ra,rc,T,px,py
150.0,350.0,0.976980039,315.0,545.5960043841964
150.0,400.0,0.994632673,315.0,545.5960043841964
150.0,450.0,0.99632311,315.0,545.5960043841964
150.0,500.0,0.9846243,315.0,545.5960043841964
150.0,550.0,0.977771664,315.0,545.5960043841964
150.0,600.0,0.984853928,315.0,545.5960043841964
150.0,650.0,0.996805826,315.0,545.5960043841964
150.0,700.0,0.999339082,315.0,545.5960043841964
150.0,750.0,0.991273773,315.0,545.5960043841964
150.0,800.0,0.984588583,315.0,545.5960043841964
150.0,850.0,0.987944477,315.0,545.5960043841964
150.0,900.0,0.996478416,315.0,545.5960043841964
200.0,350.0,0.950368565,420.0,727.4613391789284
200.0,400.0,0.991949368,420.0,727.4613391789284
200.0,450.0,0.991702584,420.0,727.4613391789284
200.0,500.0,0.980808757,420.0,727.4613391789284
200.0,550.0,0.97699703,420.0,727.4613391789284
200.0,600.0,0.995324141,420.0,727.4613391789284
200.0,650.0,0.994758014,420.0,727.4613391789284
200.0,700.0,0.979127401,420.0,727.4613391789284
200.0,750.0,0.968441594,420.0,727.4613391789284
200.0,800.0,0.975340319,420.0,727.4613391789284
200.0,850.0,0.99141249,420.0,727.4613391789284
200.0,900.0,0.998597744,420.0,727.4613391789284
250.0,350.0,0.016125137,525.0,909.3266739736605
250.0,400.0,0.349807241,525.0,909.3266739736605
250.0,450.0,0.566434949,525.0,909.3266739736605
250.0,500.0,0.657559467,525.0,909.3266739736605
250.0,550.0,0.750270508,525.0,909.3266739736605
250.0,600.0,0.839676704,525.0,909.3266739736605
250.0,650.0,0.882596841,525.0,909.3266739736605
250.0,700.0,0.905291169,525.0,909.3266739736605
250.0,750.0,0.937454344,525.0,909.3266739736605
250.0,800.0,0.105911246,525.0,909.3266739736605
250.0,850.0,0.996587626,525.0,909.3266739736605
250.0,900.0,0.983564222,525.0,909.3266739736605
300.0,350.0,0.863818339,630.0,1091.1920087683927
300.0,400.0,0.421251778,630.0,1091.1920087683927
300.0,450.0,0.327779254,630.0,1091.1920087683927
300.0,500.0,0.225431255,630.0,1091.1920087683927
300.0,550.0,0.193384257,630.0,1091.1920087683927
300.0,600.0,0.145748437,630.0,1091.1920087683927
300.0,650.0,0.019699084,630.0,1091.1920087683927
300.0,700.0,0.230065826,630.0,1091.1920087683927
300.0,750.0,0.769699988,630.0,1091.1920087683927
300.0,800.0,0.929466857,630.0,1091.1920087683927
300.0,850.0,0.873927048,630.0,1091.1920087683927
300.0,900.0,0.907416212,630.0,1091.1920087683927
350.0,350.0,0.780795841,735.0,1273.0573435631247
350.0,400.0,0.000154,735.0,1273.0573435631247
350.0,450.0,0.433942233,735.0,1273.0573435631247
350.0,500.0,0.631862639,735.0,1273.0573435631247
350.0,550.0,0.794407007,735.0,1273.0573435631247
350.0,600.0,0.136192524,735.0,1273.0573435631247
350.0,650.0,0.028965125,735.0,1273.0573435631247
350.0,700.0,0.16500893,735.0,1273.0573435631247
350.0,750.0,0.345228121,735.0,1273.0573435631247
350.0,800.0,0.413383523,735.0,1273.0573435631247
350.0,850.0,0.230224667,735.0,1273.0573435631247
350.0,900.0,0.637743186,735.0,1273.0573435631247
400.0,350.0,0.03676921,840.0,1454.9226783578567
400.0,400.0,0.55015802,840.0,1454.9226783578567
400.0,450.0,0.40015905,840.0,1454.9226783578567
400.0,500.0,0.952243096,840.0,1454.9226783578567
400.0,550.0,0.153905422,840.0,1454.9226783578567
400.0,600.0,0.571654381,840.0,1454.9226783578567
400.0,650.0,0.887897958,840.0,1454.9226783578567
400.0,700.0,0.897548578,840.0,1454.9226783578567
400.0,750.0,0.441020899,840.0,1454.9226783578567
400.0,800.0,0.910112682,840.0,1454.9226783578567
400.0,850.0,0.015789152,840.0,1454.9226783578567
400.0,900.0,0.660057415,840.0,1454.9226783578567
450.0,350.0,0.883742665,945.0,1636.788013152589
450.0,400.0,0.034662876,945.0,1636.788013152589
450.0,450.0,0.364748694,945.0,1636.788013152589
450.0,500.0,0.483021286,945.0,1636.788013152589
450.0,550.0,0.385356744,945.0,1636.788013152589
450.0,600.0,0.414534549,945.0,1636.788013152589
450.0,650.0,0.24611546,945.0,1636.788013152589
450.0,700.0,0.048241142,945.0,1636.788013152589
450.0,750.0,0.110655071,945.0,1636.788013152589
450.0,800.0,0.351283776,945.0,1636.788013152589
450.0,850.0,0.721604657,945.0,1636.788013152589
450.0,900.0,0.974171005,945.0,1636.788013152589
500.0,350.0,0.023338983,1050.0,1818.653347947321
500.0,400.0,0.000203,1050.0,1818.653347947321
500.0,450.0,0.091284608,1050.0,1818.653347947321
500.0,500.0,0.336072708,1050.0,1818.653347947321
500.0,550.0,0.907430062,1050.0,1818.653347947321
500.0,600.0,0.156123107,1050.0,1818.653347947321
500.0,650.0,0.016816601,1050.0,1818.653347947321
500.0,700.0,0.001204718,1050.0,1818.653347947321
500.0,750.0,0.113286774,1050.0,1818.653347947321
500.0,800.0,0.004688559,1050.0,1818.653347947321
500.0,850.0,0.12818303,1050.0,1818.653347947321
500.0,900.0,0.749014675,1050.0,1818.653347947321
