ra,rc,T,px,py
125.0,300,0.96692707,262.5,454.66333698683025
125.0,325,0.969429399,262.5,454.66333698683025
125.0,350,0.976272707,262.5,454.66333698683025
125.0,375,0.985219734,262.5,454.66333698683025
125.0,400,0.993566351,262.5,454.66333698683025
125.0,425,0.998747214,262.5,454.66333698683025
125.0,450,0.999492596,262.5,454.66333698683025
125.0,475,0.996073479,262.5,454.66333698683025
125.0,500,0.990175799,262.5,454.66333698683025
125.0,525,0.984135154,262.5,454.66333698683025
125.0,550,0.980105247,262.5,454.66333698683025
125.0,575,0.979298624,262.5,454.66333698683025
125.0,600,0.981931605,262.5,454.66333698683025
125.0,625,0.987024025,262.5,454.66333698683025
125.0,650,0.99286251,262.5,454.66333698683025
125.0,675,0.997566194,262.5,454.66333698683025
125.0,700,0.999627136,262.5,454.66333698683025
125.0,725,0.998592223,262.5,454.66333698683025
125.0,750,0.995048075,262.5,454.66333698683025
125.0,775,0.990430018,262.5,454.66333698683025
125.0,800,0.986446481,262.5,454.66333698683025
125.0,300,0.96692707,262.5,454.66333698683025
125.0,325,0.969429399,262.5,454.66333698683025
125.0,350,0.976272707,262.5,454.66333698683025
125.0,375,0.985219734,262.5,454.66333698683025
125.0,400,0.993566351,262.5,454.66333698683025
125.0,425,0.998747214,262.5,454.66333698683025
125.0,450,0.999492596,262.5,454.66333698683025
125.0,475,0.996073479,262.5,454.66333698683025
125.0,500,0.990175799,262.5,454.66333698683025
125.0,525,0.984135154,262.5,454.66333698683025
125.0,550,0.980105247,262.5,454.66333698683025
125.0,575,0.979298624,262.5,454.66333698683025
125.0,600,0.981931605,262.5,454.66333698683025
125.0,625,0.987024025,262.5,454.66333698683025
125.0,650,0.99286251,262.5,454.66333698683025
125.0,675,0.997566194,262.5,454.66333698683025
125.0,700,0.999627136,262.5,454.66333698683025
125.0,725,0.998592223,262.5,454.66333698683025
125.0,750,0.995048075,262.5,454.66333698683025
125.0,775,0.990430018,262.5,454.66333698683025
125.0,800,0.986446481,262.5,454.66333698683025
150.0,300,0.96295573,315.0,545.5960043841964
150.0,310,0.9644324,315.0,545.5960043841964
150.0,320,0.966754481,315.0,545.5960043841964
150.0,330,0.969754532,315.0,545.5960043841964
150.0,340,0.973299309,315.0,545.5960043841964
150.0,350,0.977180243,315.0,545.5960043841964
150.0,360,0.981222579,315.0,545.5960043841964
150.0,370,0.985204368,315.0,545.5960043841964
150.0,380,0.988898534,315.0,545.5960043841964
150.0,390,0.99214437,315.0,545.5960043841964
150.0,400,0.994770206,315.0,545.5960043841964
150.0,410,0.996671638,315.0,545.5960043841964
150.0,420,0.997760442,315.0,545.5960043841964
150.0,430,0.998046523,315.0,545.5960043841964
150.0,440,0.997532416,315.0,545.5960043841964
150.0,450,0.996316121,315.0,545.5960043841964
150.0,460,0.994513338,315.0,545.5960043841964
150.0,470,0.992271814,315.0,545.5960043841964
150.0,480,0.98977937,315.0,545.5960043841964
150.0,490,0.987166353,315.0,545.5960043841964
150.0,500,0.984631335,315.0,545.5960043841964
150.0,510,0.982355965,315.0,545.5960043841964
150.0,520,0.980436639,315.0,545.5960043841964
150.0,530,0.979022022,315.0,545.5960043841964
150.0,540,0.978138055,315.0,545.5960043841964
150.0,550,0.977909333,315.0,545.5960043841964
150.0,560,0.978271963,315.0,545.5960043841964
150.0,570,0.979222414,315.0,545.5960043841964
150.0,580,0.980712157,315.0,545.5960043841964
150.0,590,0.982667029,315.0,545.5960043841964
150.0,600,0.984939311,315.0,545.5960043841964
150.0,610,0.98744785,315.0,545.5960043841964
150.0,620,0.990010606,315.0,545.5960043841964
150.0,630,0.992511555,315.0,545.5960043841964
150.0,640,0.994823791,315.0,545.5960043841964
150.0,650,0.996805219,315.0,545.5960043841964
150.0,660,0.998369802,315.0,545.5960043841964
150.0,670,0.999430564,315.0,545.5960043841964
150.0,680,0.999948282,315.0,545.5960043841964
150.0,690,0.999914864,315.0,545.5960043841964
150.0,700,0.999356618,315.0,545.5960043841964
150.0,710,0.99831797,315.0,545.5960043841964
150.0,720,0.996891949,315.0,545.5960043841964
150.0,730,0.995165748,315.0,545.5960043841964
150.0,300,0.963034573,315.0,545.5960043841964
150.0,325,0.968170685,315.0,545.5960043841964
150.0,350,0.97717689,315.0,545.5960043841964
150.0,375,0.987019415,315.0,545.5960043841964
150.0,400,0.994672468,315.0,545.5960043841964
150.0,400,0.994600526,315.0,545.5960043841964
150.0,450,0.996413105,315.0,545.5960043841964
150.0,500,0.985054064,315.0,545.5960043841964
150.0,550,0.978148159,315.0,545.5960043841964
150.0,600,0.984917351,315.0,545.5960043841964
150.0,300,0.963034573,315.0,545.5960043841964
150.0,325,0.968170685,315.0,545.5960043841964
150.0,350,0.97717689,315.0,545.5960043841964
150.0,375,0.987019415,315.0,545.5960043841964
150.0,400,0.994672468,315.0,545.5960043841964
150.0,525,0.979690629,315.0,545.5960043841964
150.0,550,0.977896206,315.0,545.5960043841964
150.0,575,0.979906589,315.0,545.5960043841964
150.0,600,0.984952136,315.0,545.5960043841964
150.0,625,0.991326695,315.0,545.5960043841964
150.0,650,0.996827504,315.0,545.5960043841964
150.0,675,0.999762726,315.0,545.5960043841964
150.0,700,0.999343813,315.0,545.5960043841964
150.0,725,0.996035663,315.0,545.5960043841964
150.0,750,0.991320264,315.0,545.5960043841964
150.0,775,0.987072887,315.0,545.5960043841964
150.0,800,0.984746812,315.0,545.5960043841964
150.0,400,0.994599975,315.0,545.5960043841964
150.0,425,0.99792779,315.0,545.5960043841964
150.0,450,0.996413105,315.0,545.5960043841964
150.0,475,0.991274895,315.0,545.5960043841964
150.0,500,0.985050587,315.0,545.5960043841964
150.0,300,0.963034573,315.0,545.5960043841964
150.0,325,0.968170685,315.0,545.5960043841964
150.0,350,0.97717689,315.0,545.5960043841964
150.0,375,0.987019415,315.0,545.5960043841964
150.0,400,0.994672468,315.0,545.5960043841964
150.0,400,0.994600526,315.0,545.5960043841964
150.0,450,0.996413105,315.0,545.5960043841964
150.0,500,0.985054064,315.0,545.5960043841964
150.0,550,0.978148159,315.0,545.5960043841964
150.0,600,0.984917351,315.0,545.5960043841964
150.0,300,0.963034573,315.0,545.5960043841964
150.0,325,0.968170685,315.0,545.5960043841964
150.0,350,0.97717689,315.0,545.5960043841964
150.0,375,0.987019415,315.0,545.5960043841964
150.0,400,0.994672468,315.0,545.5960043841964
150.0,400,0.994599975,315.0,545.5960043841964
150.0,425,0.99792779,315.0,545.5960043841964
150.0,450,0.996413105,315.0,545.5960043841964
150.0,475,0.991274895,315.0,545.5960043841964
150.0,500,0.985050587,315.0,545.5960043841964
150.0,600,0.984955942,315.0,545.5960043841964
150.0,650,0.996745418,315.0,545.5960043841964
150.0,700,0.999438173,315.0,545.5960043841964
150.0,750,0.991620149,315.0,545.5960043841964
150.0,800,0.984968034,315.0,545.5960043841964
150.0,525,0.979690629,315.0,545.5960043841964
150.0,550,0.977896206,315.0,545.5960043841964
150.0,575,0.979906589,315.0,545.5960043841964
150.0,600,0.984952136,315.0,545.5960043841964
150.0,625,0.991326695,315.0,545.5960043841964
150.0,650,0.996827504,315.0,545.5960043841964
150.0,675,0.999762726,315.0,545.5960043841964
150.0,700,0.999343813,315.0,545.5960043841964
150.0,725,0.996035663,315.0,545.5960043841964
150.0,750,0.991320264,315.0,545.5960043841964
150.0,775,0.987072887,315.0,545.5960043841964
150.0,800,0.984746812,315.0,545.5960043841964
175.0,300,0.9531486,367.5,636.5286717815624
175.0,325,0.962030427,367.5,636.5286717815624
175.0,350,0.973751503,367.5,636.5286717815624
175.0,375,0.984478601,367.5,636.5286717815624
175.0,400,0.990929502,367.5,636.5286717815624
175.0,300,0.9531486,367.5,636.5286717815624
175.0,325,0.962030427,367.5,636.5286717815624
175.0,350,0.973751503,367.5,636.5286717815624
175.0,375,0.984478601,367.5,636.5286717815624
175.0,400,0.990929502,367.5,636.5286717815624
175.0,525,0.972726656,367.5,636.5286717815624
175.0,550,0.974783339,367.5,636.5286717815624
175.0,575,0.980589481,367.5,636.5286717815624
175.0,600,0.988154004,367.5,636.5286717815624
175.0,625,0.994978025,367.5,636.5286717815624
175.0,650,0.998927583,367.5,636.5286717815624
175.0,675,0.998967999,367.5,636.5286717815624
175.0,700,0.995592229,367.5,636.5286717815624
175.0,725,0.990538872,367.5,636.5286717815624
175.0,750,0.985963434,367.5,636.5286717815624
175.0,775,0.983602235,367.5,636.5286717815624
175.0,800,0.984291397,367.5,636.5286717815624
175.0,400,0.99051849,367.5,636.5286717815624
175.0,425,0.99149959,367.5,636.5286717815624
175.0,450,0.98760331,367.5,636.5286717815624
175.0,475,0.981398698,367.5,636.5286717815624
175.0,500,0.975910025,367.5,636.5286717815624
175.0,300,0.9531486,367.5,636.5286717815624
175.0,325,0.962030427,367.5,636.5286717815624
175.0,350,0.973751503,367.5,636.5286717815624
175.0,375,0.984478601,367.5,636.5286717815624
175.0,400,0.990929502,367.5,636.5286717815624
175.0,300,0.9531486,367.5,636.5286717815624
175.0,325,0.962030427,367.5,636.5286717815624
175.0,350,0.973751503,367.5,636.5286717815624
175.0,375,0.984478601,367.5,636.5286717815624
175.0,400,0.990929502,367.5,636.5286717815624
175.0,400,0.99051849,367.5,636.5286717815624
175.0,425,0.99149959,367.5,636.5286717815624
175.0,450,0.98760331,367.5,636.5286717815624
175.0,475,0.981398698,367.5,636.5286717815624
175.0,500,0.975910025,367.5,636.5286717815624
175.0,600,0.987946982,367.5,636.5286717815624
175.0,650,0.998746059,367.5,636.5286717815624
175.0,700,0.996017217,367.5,636.5286717815624
175.0,750,0.986555849,367.5,636.5286717815624
175.0,800,0.984632255,367.5,636.5286717815624
175.0,525,0.972726656,367.5,636.5286717815624
175.0,550,0.974783339,367.5,636.5286717815624
175.0,575,0.980589481,367.5,636.5286717815624
175.0,600,0.988154004,367.5,636.5286717815624
175.0,625,0.994978025,367.5,636.5286717815624
175.0,650,0.998927583,367.5,636.5286717815624
175.0,675,0.998967999,367.5,636.5286717815624
175.0,700,0.995592229,367.5,636.5286717815624
175.0,725,0.990538872,367.5,636.5286717815624
175.0,750,0.985963434,367.5,636.5286717815624
175.0,775,0.983602235,367.5,636.5286717815624
175.0,800,0.984291397,367.5,636.5286717815624
200.0,300,0.948052378,420.0,727.4613391789284
200.0,325,0.958885622,420.0,727.4613391789284
200.0,350,0.968867962,420.0,727.4613391789284
200.0,375,0.975470123,420.0,727.4613391789284
200.0,400,0.977080905,420.0,727.4613391789284
200.0,400,0.975990321,420.0,727.4613391789284
200.0,450,0.969890713,420.0,727.4613391789284
200.0,500,0.964090838,420.0,727.4613391789284
200.0,550,0.973687806,420.0,727.4613391789284
200.0,600,0.990130622,420.0,727.4613391789284
200.0,300,0.948052378,420.0,727.4613391789284
200.0,325,0.958885622,420.0,727.4613391789284
200.0,350,0.968867962,420.0,727.4613391789284
200.0,375,0.975470123,420.0,727.4613391789284
200.0,400,0.977080905,420.0,727.4613391789284
200.0,525,0.96592396,420.0,727.4613391789284
200.0,550,0.973126367,420.0,727.4613391789284
200.0,575,0.982404918,420.0,727.4613391789284
200.0,600,0.991078755,420.0,727.4613391789284
200.0,625,0.996815118,420.0,727.4613391789284
200.0,650,0.998422746,420.0,727.4613391789284
200.0,675,0.996282548,420.0,727.4613391789284
200.0,700,0.992028106,420.0,727.4613391789284
200.0,725,0.987807672,420.0,727.4613391789284
200.0,750,0.985423473,420.0,727.4613391789284
200.0,775,0.985758118,420.0,727.4613391789284
200.0,800,0.988622592,420.0,727.4613391789284
200.0,400,0.976070425,420.0,727.4613391789284
200.0,425,0.974175139,420.0,727.4613391789284
200.0,450,0.969616384,420.0,727.4613391789284
200.0,475,0.965795711,420.0,727.4613391789284
200.0,500,0.964085942,420.0,727.4613391789284
200.0,300,0.948052378,420.0,727.4613391789284
200.0,325,0.958885622,420.0,727.4613391789284
200.0,350,0.968867962,420.0,727.4613391789284
200.0,375,0.975470123,420.0,727.4613391789284
200.0,400,0.977080905,420.0,727.4613391789284
200.0,400,0.975990321,420.0,727.4613391789284
200.0,450,0.969890713,420.0,727.4613391789284
200.0,500,0.964090838,420.0,727.4613391789284
200.0,550,0.973687806,420.0,727.4613391789284
200.0,600,0.990130622,420.0,727.4613391789284
200.0,300,0.948052378,420.0,727.4613391789284
200.0,325,0.958885622,420.0,727.4613391789284
200.0,350,0.968867962,420.0,727.4613391789284
200.0,375,0.975470123,420.0,727.4613391789284
200.0,400,0.977080905,420.0,727.4613391789284
200.0,400,0.976070425,420.0,727.4613391789284
200.0,425,0.974175139,420.0,727.4613391789284
200.0,450,0.969616384,420.0,727.4613391789284
200.0,475,0.965795711,420.0,727.4613391789284
200.0,500,0.964085942,420.0,727.4613391789284
200.0,600,0.990120706,420.0,727.4613391789284
200.0,650,0.998153297,420.0,727.4613391789284
200.0,700,0.992839977,420.0,727.4613391789284
200.0,750,0.98624142,420.0,727.4613391789284
200.0,525,0.96592396,420.0,727.4613391789284
200.0,550,0.973126367,420.0,727.4613391789284
200.0,575,0.982404918,420.0,727.4613391789284
200.0,600,0.991078755,420.0,727.4613391789284
200.0,625,0.996815118,420.0,727.4613391789284
200.0,650,0.998422746,420.0,727.4613391789284
200.0,675,0.996282548,420.0,727.4613391789284
200.0,700,0.992028106,420.0,727.4613391789284
200.0,725,0.987807672,420.0,727.4613391789284
200.0,750,0.985423473,420.0,727.4613391789284
200.0,775,0.985758118,420.0,727.4613391789284
200.0,800,0.988622592,420.0,727.4613391789284
200.0,400,0.977080905,420.0,727.4613391789284
200.0,450,0.968770125,420.0,727.4613391789284
200.0,500,0.962986465,420.0,727.4613391789284
200.0,550,0.973224034,420.0,727.4613391789284
200.0,600,0.990960459,420.0,727.4613391789284
225.0,350,0.968876085,472.5,818.3940065762945
225.0,360,0.970399666,472.5,818.3940065762945
225.0,370,0.971715475,472.5,818.3940065762945
225.0,380,0.972801151,472.5,818.3940065762945
225.0,390,0.973701427,472.5,818.3940065762945
225.0,400,0.97440479,472.5,818.3940065762945
225.0,410,0.975077365,472.5,818.3940065762945
225.0,420,0.975705054,472.5,818.3940065762945
225.0,430,0.976384841,472.5,818.3940065762945
225.0,440,0.977143951,472.5,818.3940065762945
225.0,450,0.978076734,472.5,818.3940065762945
225.0,460,0.979185407,472.5,818.3940065762945
225.0,470,0.980456665,472.5,818.3940065762945
225.0,480,0.981927236,472.5,818.3940065762945
225.0,490,0.983562791,472.5,818.3940065762945
225.0,500,0.985308573,472.5,818.3940065762945
225.0,510,0.987152565,472.5,818.3940065762945
225.0,520,0.988989337,472.5,818.3940065762945
225.0,530,0.990787563,472.5,818.3940065762945
225.0,540,0.992443799,472.5,818.3940065762945
225.0,550,0.993871189,472.5,818.3940065762945
225.0,560,0.994979507,472.5,818.3940065762945
225.0,570,0.995718402,472.5,818.3940065762945
225.0,580,0.996011073,472.5,818.3940065762945
225.0,590,0.995824596,472.5,818.3940065762945
225.0,600,0.995127344,472.5,818.3940065762945
225.0,610,0.993914578,472.5,818.3940065762945
225.0,620,0.992247951,472.5,818.3940065762945
225.0,630,0.990158274,472.5,818.3940065762945
225.0,640,0.987784819,472.5,818.3940065762945
225.0,650,0.985153481,472.5,818.3940065762945
225.0,660,0.982474436,472.5,818.3940065762945
225.0,670,0.979834434,472.5,818.3940065762945
225.0,680,0.977348538,472.5,818.3940065762945
225.0,690,0.975237209,472.5,818.3940065762945
225.0,700,0.973506816,472.5,818.3940065762945
225.0,710,0.972275843,472.5,818.3940065762945
225.0,720,0.971656975,472.5,818.3940065762945
225.0,730,0.971651937,472.5,818.3940065762945
225.0,740,0.972251705,472.5,818.3940065762945
225.0,750,0.973413538,472.5,818.3940065762945
225.0,760,0.975183002,472.5,818.3940065762945
225.0,770,0.977307971,472.5,818.3940065762945
225.0,780,0.979817724,472.5,818.3940065762945
225.0,790,0.9825932,472.5,818.3940065762945
225.0,800,0.985476148,472.5,818.3940065762945
225.0,300,0.95931547,472.5,818.3940065762945
225.0,325,0.96510061,472.5,818.3940065762945
225.0,350,0.969905003,472.5,818.3940065762945
225.0,375,0.973212713,472.5,818.3940065762945
225.0,400,0.975368073,472.5,818.3940065762945
225.0,300,0.95931547,472.5,818.3940065762945
225.0,325,0.96510061,472.5,818.3940065762945
225.0,350,0.969905003,472.5,818.3940065762945
225.0,375,0.973212713,472.5,818.3940065762945
225.0,400,0.975368073,472.5,818.3940065762945
225.0,350,0.968866432,472.5,818.3940065762945
225.0,375,0.972285335,472.5,818.3940065762945
225.0,400,0.974404377,472.5,818.3940065762945
225.0,425,0.976057758,472.5,818.3940065762945
225.0,450,0.978073944,472.5,818.3940065762945
225.0,475,0.981165639,472.5,818.3940065762945
225.0,500,0.985308573,472.5,818.3940065762945
225.0,525,0.989903913,472.5,818.3940065762945
225.0,550,0.993871189,472.5,818.3940065762945
225.0,575,0.995929258,472.5,818.3940065762945
225.0,600,0.995130258,472.5,818.3940065762945
225.0,625,0.991256967,472.5,818.3940065762945
225.0,650,0.985152114,472.5,818.3940065762945
225.0,675,0.978560556,472.5,818.3940065762945
225.0,700,0.973506816,472.5,818.3940065762945
225.0,725,0.9715399,472.5,818.3940065762945
225.0,750,0.97341214,472.5,818.3940065762945
225.0,775,0.978543427,472.5,818.3940065762945
225.0,800,0.985474018,472.5,818.3940065762945
225.0,400,0.977212755,472.5,818.3940065762945
225.0,425,0.978388453,472.5,818.3940065762945
225.0,450,0.979678514,472.5,818.3940065762945
225.0,475,0.981837475,472.5,818.3940065762945
225.0,500,0.985037186,472.5,818.3940065762945
225.0,300,0.95931547,472.5,818.3940065762945
225.0,325,0.96510061,472.5,818.3940065762945
225.0,350,0.969905003,472.5,818.3940065762945
225.0,375,0.973212713,472.5,818.3940065762945
225.0,400,0.975368073,472.5,818.3940065762945
225.0,300,0.95931547,472.5,818.3940065762945
225.0,325,0.96510061,472.5,818.3940065762945
225.0,350,0.969905003,472.5,818.3940065762945
225.0,375,0.973212713,472.5,818.3940065762945
225.0,400,0.975368073,472.5,818.3940065762945
225.0,400,0.977212755,472.5,818.3940065762945
225.0,425,0.978388453,472.5,818.3940065762945
225.0,450,0.979678514,472.5,818.3940065762945
225.0,475,0.981837475,472.5,818.3940065762945
225.0,500,0.985037186,472.5,818.3940065762945
225.0,350,0.968866432,472.5,818.3940065762945
225.0,375,0.972285335,472.5,818.3940065762945
225.0,400,0.974404377,472.5,818.3940065762945
225.0,425,0.976057758,472.5,818.3940065762945
225.0,450,0.978073944,472.5,818.3940065762945
225.0,475,0.981165639,472.5,818.3940065762945
225.0,500,0.985308573,472.5,818.3940065762945
225.0,525,0.989903913,472.5,818.3940065762945
225.0,550,0.993871189,472.5,818.3940065762945
225.0,575,0.995929258,472.5,818.3940065762945
225.0,600,0.995130258,472.5,818.3940065762945
225.0,625,0.991256967,472.5,818.3940065762945
225.0,650,0.985152114,472.5,818.3940065762945
225.0,675,0.978560556,472.5,818.3940065762945
225.0,700,0.973506816,472.5,818.3940065762945
225.0,725,0.9715399,472.5,818.3940065762945
225.0,750,0.97341214,472.5,818.3940065762945
225.0,775,0.978543427,472.5,818.3940065762945
225.0,800,0.985474018,472.5,818.3940065762945
225.0,400,0.975368073,472.5,818.3940065762945
225.0,450,0.978542172,472.5,818.3940065762945
225.0,500,0.985156405,472.5,818.3940065762945
225.0,550,0.993480321,472.5,818.3940065762945
225.0,600,0.994971553,472.5,818.3940065762945
225.0,300,0.958799565,472.5,818.3940065762945
225.0,310,0.960960538,472.5,818.3940065762945
