ra,rc,T,px,py
355.0,425,0.93364605,745.5,1291.243877042598
355.0,435,0.930958417,745.5,1291.243877042598
355.0,445,0.927919995,745.5,1291.243877042598
355.0,455,0.92469879,745.5,1291.243877042598
355.0,465,0.921215441,745.5,1291.243877042598
355.0,475,0.918198037,745.5,1291.243877042598
355.0,485,0.915430211,745.5,1291.243877042598
355.0,495,0.913695483,745.5,1291.243877042598
355.0,505,0.91289237,745.5,1291.243877042598
355.0,515,0.913727584,745.5,1291.243877042598
355.0,525,0.916014458,745.5,1291.243877042598
355.0,535,0.92021922,745.5,1291.243877042598
355.0,545,0.925658581,745.5,1291.243877042598
355.0,555,0.93234991,745.5,1291.243877042598
355.0,565,0.93936218,745.5,1291.243877042598
355.0,575,0.947258201,745.5,1291.243877042598
355.0,585,0.954955052,745.5,1291.243877042598
355.0,595,0.962363044,745.5,1291.243877042598
355.0,605,0.969341131,745.5,1291.243877042598
355.0,615,0.975684943,745.5,1291.243877042598
355.0,625,0.981345466,745.5,1291.243877042598
365.0,425,0.949546008,766.5,1327.6169440015444
365.0,435,0.950224936,766.5,1327.6169440015444
365.0,445,0.951176089,766.5,1327.6169440015444
365.0,455,0.952469883,766.5,1327.6169440015444
365.0,465,0.954185107,766.5,1327.6169440015444
365.0,475,0.956230815,766.5,1327.6169440015444
365.0,485,0.958609948,766.5,1327.6169440015444
365.0,495,0.961281631,766.5,1327.6169440015444
365.0,505,0.964183784,766.5,1327.6169440015444
365.0,515,0.967190834,766.5,1327.6169440015444
365.0,525,0.970260802,766.5,1327.6169440015444
365.0,535,0.973241287,766.5,1327.6169440015444
365.0,545,0.976166106,766.5,1327.6169440015444
365.0,555,0.978916962,766.5,1327.6169440015444
375.0,300,0.949049002,787.5,1363.9900109604907
375.0,350,0.943890865,787.5,1363.9900109604907
375.0,400,0.945602523,787.5,1363.9900109604907
375.0,450,0.955032696,787.5,1363.9900109604907
375.0,500,0.969295526,787.5,1363.9900109604907
375.0,550,0.980836413,787.5,1363.9900109604907
375.0,600,0.988451726,787.5,1363.9900109604907
375.0,650,0.991887709,787.5,1363.9900109604907
375.0,700,0.991687952,787.5,1363.9900109604907
375.0,750,0.993444441,787.5,1363.9900109604907
375.0,800,0.998292324,787.5,1363.9900109604907
375.0,850,0.999691308,787.5,1363.9900109604907
375.0,900,0.993052853,787.5,1363.9900109604907
375.0,300,0.949049002,787.5,1363.9900109604907
375.0,350,0.943890865,787.5,1363.9900109604907
375.0,400,0.945602523,787.5,1363.9900109604907
375.0,450,0.955032696,787.5,1363.9900109604907
375.0,500,0.969295526,787.5,1363.9900109604907
375.0,550,0.980836413,787.5,1363.9900109604907
375.0,600,0.988451726,787.5,1363.9900109604907
375.0,650,0.991887709,787.5,1363.9900109604907
375.0,700,0.991687952,787.5,1363.9900109604907
375.0,750,0.993444441,787.5,1363.9900109604907
375.0,800,0.998292324,787.5,1363.9900109604907
375.0,300,0.949049002,787.5,1363.9900109604907
375.0,350,0.943890865,787.5,1363.9900109604907
375.0,400,0.945602523,787.5,1363.9900109604907
375.0,450,0.955032696,787.5,1363.9900109604907
375.0,500,0.969295526,787.5,1363.9900109604907
375.0,550,0.980836413,787.5,1363.9900109604907
375.0,600,0.988451726,787.5,1363.9900109604907
375.0,650,0.991887709,787.5,1363.9900109604907
375.0,700,0.991687952,787.5,1363.9900109604907
375.0,750,0.993444441,787.5,1363.9900109604907
375.0,800,0.998292324,787.5,1363.9900109604907
375.0,300,0.949049002,787.5,1363.9900109604907
375.0,350,0.943890865,787.5,1363.9900109604907
375.0,400,0.945602523,787.5,1363.9900109604907
375.0,450,0.955032696,787.5,1363.9900109604907
375.0,500,0.969295526,787.5,1363.9900109604907
375.0,550,0.980836413,787.5,1363.9900109604907
375.0,600,0.988451726,787.5,1363.9900109604907
375.0,650,0.991887709,787.5,1363.9900109604907
375.0,700,0.991687952,787.5,1363.9900109604907
375.0,750,0.993444441,787.5,1363.9900109604907
375.0,800,0.998292324,787.5,1363.9900109604907
375.0,850,0.999691308,787.5,1363.9900109604907
375.0,900,0.993052853,787.5,1363.9900109604907
400.0,300,0.844290056,840.0,1454.9226783578567
400.0,350,0.677441381,840.0,1454.9226783578567
400.0,400,0.7578947,840.0,1454.9226783578567
400.0,450,0.90647053,840.0,1454.9226783578567
400.0,500,0.893568532,840.0,1454.9226783578567
400.0,550,0.802255244,840.0,1454.9226783578567
400.0,600,0.808092157,840.0,1454.9226783578567
400.0,650,0.892276517,840.0,1454.9226783578567
400.0,700,0.809365795,840.0,1454.9226783578567
400.0,750,0.583624893,840.0,1454.9226783578567
400.0,800,0.468827269,840.0,1454.9226783578567
400.0,825,0.507502828,840.0,1454.9226783578567
400.0,850,0.586907626,840.0,1454.9226783578567
400.0,875,0.682564548,840.0,1454.9226783578567
400.0,900,0.771135362,840.0,1454.9226783578567
400.0,300,0.844290056,840.0,1454.9226783578567
400.0,350,0.677441381,840.0,1454.9226783578567
400.0,400,0.7578947,840.0,1454.9226783578567
400.0,450,0.90647053,840.0,1454.9226783578567
400.0,500,0.893568532,840.0,1454.9226783578567
400.0,550,0.802255244,840.0,1454.9226783578567
400.0,600,0.808092157,840.0,1454.9226783578567
400.0,650,0.892276517,840.0,1454.9226783578567
400.0,700,0.809365795,840.0,1454.9226783578567
400.0,750,0.583624893,840.0,1454.9226783578567
400.0,800,0.468827269,840.0,1454.9226783578567
400.0,300,0.844290056,840.0,1454.9226783578567
400.0,350,0.677441381,840.0,1454.9226783578567
400.0,400,0.7578947,840.0,1454.9226783578567
400.0,450,0.90647053,840.0,1454.9226783578567
400.0,500,0.893568532,840.0,1454.9226783578567
400.0,550,0.802255244,840.0,1454.9226783578567
400.0,600,0.808092157,840.0,1454.9226783578567
400.0,650,0.892276517,840.0,1454.9226783578567
400.0,700,0.809365795,840.0,1454.9226783578567
400.0,750,0.583624893,840.0,1454.9226783578567
400.0,800,0.468827269,840.0,1454.9226783578567
400.0,300,0.844290056,840.0,1454.9226783578567
400.0,350,0.677441381,840.0,1454.9226783578567
400.0,400,0.7578947,840.0,1454.9226783578567
400.0,450,0.90647053,840.0,1454.9226783578567
400.0,500,0.893568532,840.0,1454.9226783578567
400.0,550,0.802255244,840.0,1454.9226783578567
400.0,600,0.808092157,840.0,1454.9226783578567
400.0,650,0.892276517,840.0,1454.9226783578567
400.0,700,0.809365795,840.0,1454.9226783578567
400.0,750,0.583624893,840.0,1454.9226783578567
400.0,800,0.468827269,840.0,1454.9226783578567
400.0,825,0.507502828,840.0,1454.9226783578567
400.0,850,0.586907626,840.0,1454.9226783578567
400.0,875,0.682564548,840.0,1454.9226783578567
400.0,900,0.771135362,840.0,1454.9226783578567
425.0,300,0.95938761,892.5,1545.855345755223
425.0,350,0.91876851,892.5,1545.855345755223
425.0,400,0.864979649,892.5,1545.855345755223
425.0,450,0.648947134,892.5,1545.855345755223
425.0,500,0.838121871,892.5,1545.855345755223
425.0,550,0.991996881,892.5,1545.855345755223
425.0,600,0.990237418,892.5,1545.855345755223
425.0,650,0.966807694,892.5,1545.855345755223
425.0,700,0.897786762,892.5,1545.855345755223
425.0,750,0.806393201,892.5,1545.855345755223
425.0,800,0.826644621,892.5,1545.855345755223
425.0,825,0.868762879,892.5,1545.855345755223
425.0,850,0.909435445,892.5,1545.855345755223
425.0,875,0.941899293,892.5,1545.855345755223
425.0,900,0.96496312,892.5,1545.855345755223
425.0,300,0.95938761,892.5,1545.855345755223
425.0,350,0.91876851,892.5,1545.855345755223
425.0,400,0.864979649,892.5,1545.855345755223
425.0,450,0.648947134,892.5,1545.855345755223
425.0,500,0.838121871,892.5,1545.855345755223
425.0,550,0.991996881,892.5,1545.855345755223
425.0,600,0.990237418,892.5,1545.855345755223
425.0,650,0.966807694,892.5,1545.855345755223
425.0,700,0.897786762,892.5,1545.855345755223
425.0,750,0.806393201,892.5,1545.855345755223
425.0,800,0.826644621,892.5,1545.855345755223
425.0,825,0.868762879,892.5,1545.855345755223
425.0,850,0.909435445,892.5,1545.855345755223
425.0,875,0.941899293,892.5,1545.855345755223
425.0,900,0.96496312,892.5,1545.855345755223
425.0,300,0.95938761,892.5,1545.855345755223
425.0,350,0.91876851,892.5,1545.855345755223
