ra,rc,T,px,py
125.0,300,0.96692707,262.5,454.66333698683025
125.0,325,0.969429399,262.5,454.66333698683025
125.0,350,0.976272707,262.5,454.66333698683025
125.0,375,0.985219734,262.5,454.66333698683025
125.0,400,0.993566351,262.5,454.66333698683025
125.0,425,0.998747214,262.5,454.66333698683025
125.0,450,0.999492596,262.5,454.66333698683025
125.0,475,0.996073479,262.5,454.66333698683025
125.0,500,0.990175799,262.5,454.66333698683025
125.0,525,0.984135154,262.5,454.66333698683025
125.0,550,0.980105247,262.5,454.66333698683025
125.0,575,0.979298624,262.5,454.66333698683025
125.0,600,0.981931605,262.5,454.66333698683025
125.0,625,0.987024025,262.5,454.66333698683025
125.0,650,0.99286251,262.5,454.66333698683025
125.0,675,0.997566194,262.5,454.66333698683025
125.0,700,0.999627136,262.5,454.66333698683025
125.0,725,0.998592223,262.5,454.66333698683025
125.0,750,0.995048075,262.5,454.66333698683025
125.0,775,0.990430018,262.5,454.66333698683025
125.0,800,0.986446481,262.5,454.66333698683025
