ra,rc,T,px,py
150.0,300,0.963034573,315.0,545.5960043841964
150.0,325,0.968170685,315.0,545.5960043841964
150.0,350,0.97717689,315.0,545.5960043841964
150.0,375,0.987019415,315.0,545.5960043841964
150.0,400,0.994672468,315.0,545.5960043841964
175.0,300,0.9531486,367.5,636.5286717815624
175.0,325,0.962030427,367.5,636.5286717815624
175.0,350,0.973751503,367.5,636.5286717815624
175.0,375,0.984478601,367.5,636.5286717815624
175.0,400,0.990929502,367.5,636.5286717815624
200.0,300,0.948052378,420.0,727.4613391789284
200.0,325,0.958885622,420.0,727.4613391789284
200.0,350,0.968867962,420.0,727.4613391789284
200.0,375,0.975470123,420.0,727.4613391789284
200.0,400,0.977080905,420.0,727.4613391789284
225.0,300,0.95931547,472.5,818.3940065762945
225.0,325,0.96510061,472.5,818.3940065762945
225.0,350,0.969905003,472.5,818.3940065762945
225.0,375,0.973212713,472.5,818.3940065762945
225.0,400,0.975368073,472.5,818.3940065762945
250.0,300,0.9709146,525.0,909.3266739736605
250.0,325,0.972089414,525.0,909.3266739736605
250.0,350,0.972828118,525.0,909.3266739736605
250.0,375,0.973481566,525.0,909.3266739736605
250.0,400,0.974395097,525.0,909.3266739736605
275.0,300,0.971707816,577.5,1000.2593413710266
275.0,325,0.970498031,577.5,1000.2593413710266
275.0,350,0.969775584,577.5,1000.2593413710266
