ra,rc,T,px,py
225.0,350,0.968866432,472.5,818.3940065762945
225.0,375,0.972285335,472.5,818.3940065762945
225.0,400,0.974404377,472.5,818.3940065762945
225.0,425,0.976057758,472.5,818.3940065762945
225.0,450,0.978073944,472.5,818.3940065762945
225.0,475,0.981165639,472.5,818.3940065762945
225.0,500,0.985308573,472.5,818.3940065762945
225.0,525,0.989903913,472.5,818.3940065762945
225.0,550,0.993871189,472.5,818.3940065762945
225.0,575,0.995929258,472.5,818.3940065762945
225.0,600,0.995130258,472.5,818.3940065762945
225.0,625,0.991256967,472.5,818.3940065762945
225.0,650,0.985152114,472.5,818.3940065762945
225.0,675,0.978560556,472.5,818.3940065762945
225.0,700,0.973506816,472.5,818.3940065762945
225.0,725,0.9715399,472.5,818.3940065762945
225.0,750,0.97341214,472.5,818.3940065762945
225.0,775,0.978543427,472.5,818.3940065762945
225.0,800,0.985474018,472.5,818.3940065762945
250.0,350,0.972686482,525.0,909.3266739736605
250.0,375,0.974046024,525.0,909.3266739736605
250.0,400,0.975472745,525.0,909.3266739736605
250.0,425,0.977340529,525.0,909.3266739736605
250.0,450,0.979723775,525.0,909.3266739736605
250.0,475,0.982692233,525.0,909.3266739736605
250.0,500,0.985739669,525.0,909.3266739736605
250.0,525,0.988100027,525.0,909.3266739736605
250.0,550,0.988732717,525.0,909.3266739736605
250.0,575,0.986809348,525.0,909.3266739736605
250.0,600,0.982398109,525.0,909.3266739736605
250.0,625,0.976687462,525.0,909.3266739736605
250.0,650,0.971816967,525.0,909.3266739736605
250.0,675,0.969704155,525.0,909.3266739736605
250.0,700,0.971632575,525.0,909.3266739736605
250.0,725,0.977237817,525.0,909.3266739736605
250.0,750,0.984884249,525.0,909.3266739736605
250.0,775,0.992251605,525.0,909.3266739736605
250.0,800,0.997144086,525.0,909.3266739736605
275.0,350,0.970784081,577.5,1000.2593413710266
275.0,375,0.971494897,577.5,1000.2593413710266
275.0,400,0.973110624,577.5,1000.2593413710266
275.0,425,0.975322129,577.5,1000.2593413710266
275.0,450,0.977809291,577.5,1000.2593413710266
275.0,475,0.979935697,577.5,1000.2593413710266
275.0,500,0.981160869,577.5,1000.2593413710266
275.0,525,0.980992126,577.5,1000.2593413710266
275.0,550,0.979422155,577.5,1000.2593413710266
275.0,575,0.97727466,577.5,1000.2593413710266
275.0,600,0.975865342,577.5,1000.2593413710266
275.0,625,0.976648477,577.5,1000.2593413710266
275.0,650,0.980023077,577.5,1000.2593413710266
275.0,675,0.985332445,577.5,1000.2593413710266
275.0,700,0.991301726,577.5,1000.2593413710266
275.0,725,0.996490641,577.5,1000.2593413710266
275.0,750,0.999415502,577.5,1000.2593413710266
275.0,775,0.999046978,577.5,1000.2593413710266
275.0,800,0.995041008,577.5,1000.2593413710266
300.0,350,0.967032728,630.0,1091.1920087683927
300.0,375,0.967583377,630.0,1091.1920087683927
300.0,400,0.969071164,630.0,1091.1920087683927
300.0,425,0.970984055,630.0,1091.1920087683927
300.0,450,0.972858629,630.0,1091.1920087683927
300.0,475,0.974263977,630.0,1091.1920087683927
300.0,500,0.975041705,630.0,1091.1920087683927
300.0,525,0.975639698,630.0,1091.1920087683927
300.0,550,0.9767608,630.0,1091.1920087683927
300.0,575,0.979196457,630.0,1091.1920087683927
300.0,600,0.983022314,630.0,1091.1920087683927
300.0,625,0.987686556,630.0,1091.1920087683927
300.0,650,0.992512752,630.0,1091.1920087683927
300.0,675,0.996706657,630.0,1091.1920087683927
300.0,700,0.999398782,630.0,1091.1920087683927
300.0,725,0.999642658,630.0,1091.1920087683927
300.0,750,0.996736108,630.0,1091.1920087683927
300.0,775,0.990674912,630.0,1091.1920087683927
300.0,800,0.982553629,630.0,1091.1920087683927
325.0,350,0.960988131,682.5,1182.1246761657587
325.0,375,0.96173622,682.5,1182.1246761657587
325.0,400,0.963391143,682.5,1182.1246761657587
325.0,425,0.965545457,682.5,1182.1246761657587
325.0,450,0.967954939,682.5,1182.1246761657587
325.0,475,0.970572374,682.5,1182.1246761657587
325.0,500,0.973766262,682.5,1182.1246761657587
325.0,525,0.977746906,682.5,1182.1246761657587
325.0,550,0.982352805,682.5,1182.1246761657587
325.0,575,0.987108597,682.5,1182.1246761657587
325.0,600,0.99145803,682.5,1182.1246761657587
325.0,625,0.995110526,682.5,1182.1246761657587
325.0,650,0.997660404,682.5,1182.1246761657587
325.0,675,0.998579815,682.5,1182.1246761657587
325.0,700,0.997274047,682.5,1182.1246761657587
325.0,725,0.993395151,682.5,1182.1246761657587
325.0,750,0.987263678,682.5,1182.1246761657587
325.0,775,0.980069756,682.5,1182.1246761657587
325.0,800,0.973674063,682.5,1182.1246761657587
350.0,350,0.937501444,735.0,1273.0573435631247
350.0,375,0.944904773,735.0,1273.0573435631247
350.0,400,0.955919258,735.0,1273.0573435631247
350.0,425,0.969482866,735.0,1273.0573435631247
350.0,450,0.982771811,735.0,1273.0573435631247
350.0,475,0.992740178,735.0,1273.0573435631247
350.0,500,0.998177217,735.0,1273.0573435631247
350.0,525,0.999723436,735.0,1273.0573435631247
350.0,550,0.998465623,735.0,1273.0573435631247
350.0,575,0.995229274,735.0,1273.0573435631247
350.0,600,0.990325552,735.0,1273.0573435631247
350.0,625,0.983730547,735.0,1273.0573435631247
350.0,650,0.975476672,735.0,1273.0573435631247
350.0,675,0.966174172,735.0,1273.0573435631247
350.0,700,0.957194246,735.0,1273.0573435631247
350.0,725,0.951208937,735.0,1273.0573435631247
350.0,750,0.950491969,735.0,1273.0573435631247
350.0,775,0.955587033,735.0,1273.0573435631247
350.0,800,0.965232868,735.0,1273.0573435631247
