ra,rc,T,px,py
150.0,525,0.979690629,315.0,545.5960043841964
150.0,550,0.977896206,315.0,545.5960043841964
150.0,575,0.979906589,315.0,545.5960043841964
150.0,600,0.984952136,315.0,545.5960043841964
150.0,625,0.991326695,315.0,545.5960043841964
150.0,650,0.996827504,315.0,545.5960043841964
150.0,675,0.999762726,315.0,545.5960043841964
150.0,700,0.999343813,315.0,545.5960043841964
150.0,725,0.996035663,315.0,545.5960043841964
150.0,750,0.991320264,315.0,545.5960043841964
150.0,775,0.987072887,315.0,545.5960043841964
150.0,800,0.984746812,315.0,545.5960043841964
175.0,525,0.972726656,367.5,636.5286717815624
175.0,550,0.974783339,367.5,636.5286717815624
175.0,575,0.980589481,367.5,636.5286717815624
175.0,600,0.988154004,367.5,636.5286717815624
175.0,625,0.994978025,367.5,636.5286717815624
175.0,650,0.998927583,367.5,636.5286717815624
175.0,675,0.998967999,367.5,636.5286717815624
175.0,700,0.995592229,367.5,636.5286717815624
175.0,725,0.990538872,367.5,636.5286717815624
175.0,750,0.985963434,367.5,636.5286717815624
175.0,775,0.983602235,367.5,636.5286717815624
175.0,800,0.984291397,367.5,636.5286717815624
200.0,525,0.96592396,420.0,727.4613391789284
200.0,550,0.973126367,420.0,727.4613391789284
200.0,575,0.982404918,420.0,727.4613391789284
200.0,600,0.991078755,420.0,727.4613391789284
200.0,625,0.996815118,420.0,727.4613391789284
200.0,650,0.998422746,420.0,727.4613391789284
200.0,675,0.996282548,420.0,727.4613391789284
200.0,700,0.992028106,420.0,727.4613391789284
200.0,725,0.987807672,420.0,727.4613391789284
200.0,750,0.985423473,420.0,727.4613391789284
200.0,775,0.985758118,420.0,727.4613391789284
200.0,800,0.988622592,420.0,727.4613391789284
