ra,rc,T,px,py
200.0,400,0.977080905,420.0,727.4613391789284
200.0,450,0.968770125,420.0,727.4613391789284
200.0,500,0.962986465,420.0,727.4613391789284
200.0,550,0.973224034,420.0,727.4613391789284
200.0,600,0.990960459,420.0,727.4613391789284
225.0,400,0.975368073,472.5,818.3940065762945
225.0,450,0.978542172,472.5,818.3940065762945
225.0,500,0.985156405,472.5,818.3940065762945
225.0,550,0.993480321,472.5,818.3940065762945
225.0,600,0.994971553,472.5,818.3940065762945
250.0,400,0.974395097,525.0,909.3266739736605
250.0,450,0.978259343,525.0,909.3266739736605
250.0,500,0.984992864,525.0,909.3266739736605
250.0,550,0.988931521,525.0,909.3266739736605
250.0,600,0.983174668,525.0,909.3266739736605
275.0,400,0.971581889,577.5,1000.2593413710266
275.0,450,0.977073728,577.5,1000.2593413710266
275.0,500,0.981668424,577.5,1000.2593413710266
275.0,550,0.98063444,577.5,1000.2593413710266
275.0,600,0.977212982,577.5,1000.2593413710266
300.0,400,0.968399158,630.0,1091.1920087683927
300.0,450,0.973095674,630.0,1091.1920087683927
300.0,500,0.976051944,630.0,1091.1920087683927
300.0,550,0.977834914,630.0,1091.1920087683927
300.0,600,0.983355262,630.0,1091.1920087683927
