ra,rc,T,px,py
250.0,400,0.974395097,525.0,909.3266739736605
250.0,450,0.978259343,525.0,909.3266739736605
250.0,500,0.984992864,525.0,909.3266739736605
250.0,550,0.988931521,525.0,909.3266739736605
250.0,600,0.983174668,525.0,909.3266739736605
275.0,400,0.971585193,577.5,1000.2593413710266
275.0,450,0.977058658,577.5,1000.2593413710266
275.0,500,0.981599776,577.5,1000.2593413710266
275.0,550,0.980675858,577.5,1000.2593413710266
275.0,600,0.977195772,577.5,1000.2593413710266
300.0,400,0.968399158,630.0,1091.1920087683927
300.0,450,0.973095674,630.0,1091.1920087683927
300.0,500,0.976051944,630.0,1091.1920087683927
300.0,550,0.977834914,630.0,1091.1920087683927
300.0,600,0.983355262,630.0,1091.1920087683927
325.0,400,0.963190384,682.5,1182.1246761657587
325.0,450,0.968961497,682.5,1182.1246761657587
325.0,500,0.975193672,682.5,1182.1246761657587
325.0,550,0.982978069,682.5,1182.1246761657587
325.0,600,0.991139341,682.5,1182.1246761657587
350.0,400,0.956387823,735.0,1273.0573435631247
350.0,450,0.983192573,735.0,1273.0573435631247
350.0,500,0.998270537,735.0,1273.0573435631247
350.0,550,0.998254391,735.0,1273.0573435631247
350.0,600,0.990425463,735.0,1273.0573435631247
