ra,rc,T,px,py
325.0,425,0.965550708,682.5,1182.1246761657587
325.0,435,0.966474094,682.5,1182.1246761657587
325.0,445,0.967439668,682.5,1182.1246761657587
325.0,455,0.968456245,682.5,1182.1246761657587
325.0,465,0.96945938,682.5,1182.1246761657587
325.0,475,0.970561331,682.5,1182.1246761657587
325.0,485,0.971781341,682.5,1182.1246761657587
325.0,495,0.973066606,682.5,1182.1246761657587
325.0,505,0.974499318,682.5,1182.1246761657587
325.0,515,0.976069264,682.5,1182.1246761657587
325.0,525,0.977745864,682.5,1182.1246761657587
325.0,535,0.97954237,682.5,1182.1246761657587
325.0,545,0.981419464,682.5,1182.1246761657587
325.0,555,0.983345557,682.5,1182.1246761657587
325.0,565,0.985245901,682.5,1182.1246761657587
325.0,575,0.987095984,682.5,1182.1246761657587
325.0,585,0.988908496,682.5,1182.1246761657587
325.0,595,0.990659817,682.5,1182.1246761657587
325.0,605,0.99226149,682.5,1182.1246761657587
325.0,615,0.993763917,682.5,1182.1246761657587
325.0,625,0.995112813,682.5,1182.1246761657587
335.0,425,0.963848145,703.5,1218.497743124705
335.0,435,0.965191997,703.5,1218.497743124705
335.0,445,0.966604475,703.5,1218.497743124705
335.0,455,0.968128018,703.5,1218.497743124705
335.0,465,0.9697588,703.5,1218.497743124705
335.0,475,0.971461172,703.5,1218.497743124705
335.0,485,0.973302088,703.5,1218.497743124705
335.0,495,0.975222803,703.5,1218.497743124705
335.0,505,0.977224157,703.5,1218.497743124705
335.0,515,0.97928224,703.5,1218.497743124705
335.0,525,0.981319711,703.5,1218.497743124705
335.0,535,0.98334692,703.5,1218.497743124705
335.0,545,0.985305425,703.5,1218.497743124705
335.0,555,0.987148859,703.5,1218.497743124705
335.0,565,0.988896544,703.5,1218.497743124705
335.0,575,0.99050256,703.5,1218.497743124705
335.0,585,0.991965608,703.5,1218.497743124705
335.0,595,0.993282189,703.5,1218.497743124705
335.0,605,0.994451027,703.5,1218.497743124705
335.0,615,0.995459661,703.5,1218.497743124705
335.0,625,0.996297476,703.5,1218.497743124705
345.0,425,0.964117782,724.5,1254.8708100836516
345.0,435,0.966649432,724.5,1254.8708100836516
345.0,445,0.969349953,724.5,1254.8708100836516
345.0,455,0.972100123,724.5,1254.8708100836516
345.0,465,0.974912936,724.5,1254.8708100836516
345.0,475,0.977675395,724.5,1254.8708100836516
345.0,485,0.980374655,724.5,1254.8708100836516
345.0,495,0.982942754,724.5,1254.8708100836516
345.0,505,0.985303008,724.5,1254.8708100836516
345.0,515,0.987425383,724.5,1254.8708100836516
345.0,525,0.989299034,724.5,1254.8708100836516
345.0,535,0.99092712,724.5,1254.8708100836516
345.0,545,0.992301558,724.5,1254.8708100836516
345.0,555,0.993429396,724.5,1254.8708100836516
345.0,565,0.994331984,724.5,1254.8708100836516
345.0,575,0.995052116,724.5,1254.8708100836516
345.0,585,0.995582436,724.5,1254.8708100836516
345.0,595,0.995937405,724.5,1254.8708100836516
345.0,605,0.996113327,724.5,1254.8708100836516
345.0,615,0.996117644,724.5,1254.8708100836516
345.0,625,0.995941332,724.5,1254.8708100836516
355.0,425,0.93364605,745.5,1291.243877042598
355.0,435,0.930958417,745.5,1291.243877042598
355.0,445,0.927919995,745.5,1291.243877042598
355.0,455,0.92469879,745.5,1291.243877042598
355.0,465,0.921215441,745.5,1291.243877042598
355.0,475,0.918198037,745.5,1291.243877042598
355.0,485,0.915430211,745.5,1291.243877042598
355.0,495,0.913695483,745.5,1291.243877042598
355.0,505,0.91289237,745.5,1291.243877042598
355.0,515,0.913727584,745.5,1291.243877042598
355.0,525,0.916014458,745.5,1291.243877042598
355.0,535,0.92021922,745.5,1291.243877042598
355.0,545,0.925658581,745.5,1291.243877042598
355.0,555,0.93234991,745.5,1291.243877042598
355.0,565,0.93936218,745.5,1291.243877042598
355.0,575,0.947258201,745.5,1291.243877042598
355.0,585,0.954955052,745.5,1291.243877042598
355.0,595,0.962363044,745.5,1291.243877042598
355.0,605,0.969341131,745.5,1291.243877042598
355.0,615,0.975684943,745.5,1291.243877042598
355.0,625,0.981345466,745.5,1291.243877042598
365.0,425,0.949546008,766.5,1327.6169440015444
365.0,435,0.950224936,766.5,1327.6169440015444
365.0,445,0.951176089,766.5,1327.6169440015444
365.0,455,0.952469883,766.5,1327.6169440015444
365.0,465,0.954185107,766.5,1327.6169440015444
365.0,475,0.956230815,766.5,1327.6169440015444
365.0,485,0.958609948,766.5,1327.6169440015444
365.0,495,0.961281631,766.5,1327.6169440015444
365.0,505,0.964183784,766.5,1327.6169440015444
365.0,515,0.967190834,766.5,1327.6169440015444
365.0,525,0.970260802,766.5,1327.6169440015444
365.0,535,0.973241287,766.5,1327.6169440015444
365.0,545,0.976166106,766.5,1327.6169440015444
365.0,555,0.978916962,766.5,1327.6169440015444
