ra,rc,T,px,py
375.0,300,0.949049002,787.5,1363.9900109604907
375.0,350,0.943890865,787.5,1363.9900109604907
375.0,400,0.945602523,787.5,1363.9900109604907
375.0,450,0.955032696,787.5,1363.9900109604907
375.0,500,0.969295526,787.5,1363.9900109604907
375.0,550,0.980836413,787.5,1363.9900109604907
375.0,600,0.988451726,787.5,1363.9900109604907
375.0,650,0.991887709,787.5,1363.9900109604907
375.0,700,0.991687952,787.5,1363.9900109604907
375.0,750,0.993444441,787.5,1363.9900109604907
375.0,800,0.998292324,787.5,1363.9900109604907
