ra,rc,T,px,py
425.0,300,0.95938761,892.5,1545.855345755223
425.0,350,0.91876851,892.5,1545.855345755223
425.0,400,0.864979649,892.5,1545.855345755223
425.0,450,0.648947134,892.5,1545.855345755223
425.0,500,0.838121871,892.5,1545.855345755223
425.0,550,0.991996881,892.5,1545.855345755223
425.0,600,0.990237418,892.5,1545.855345755223
425.0,650,0.966807694,892.5,1545.855345755223
425.0,700,0.897786762,892.5,1545.855345755223
425.0,750,0.806393201,892.5,1545.855345755223
425.0,800,0.826644621,892.5,1545.855345755223
