ra,rc,T,px,py
125.0,650,0.992872934,262.5,454.66333698683025
125.0,660,0.994998307,262.5,454.66333698683025
125.0,670,0.996806424,262.5,454.66333698683025
125.0,680,0.998224633,262.5,454.66333698683025
125.0,690,0.999172694,262.5,454.66333698683025
125.0,700,0.999630916,262.5,454.66333698683025
125.0,710,0.99957421,262.5,454.66333698683025
125.0,720,0.999023299,262.5,454.66333698683025
125.0,730,0.998043872,262.5,454.66333698683025
125.0,740,0.996661846,262.5,454.66333698683025
125.0,750,0.995040744,262.5,454.66333698683025
125.0,760,0.993235665,262.5,454.66333698683025
125.0,770,0.991349669,262.5,454.66333698683025
125.0,780,0.989523004,262.5,454.66333698683025
125.0,790,0.987884751,262.5,454.66333698683025
125.0,800,0.986435495,262.5,454.66333698683025
135.0,650,0.994557695,283.5,491.03640394577667
135.0,660,0.996497092,283.5,491.03640394577667
135.0,670,0.998057395,283.5,491.03640394577667
135.0,680,0.999160444,283.5,491.03640394577667
135.0,690,0.999752401,283.5,491.03640394577667
135.0,700,0.999824478,283.5,491.03640394577667
135.0,710,0.999387804,283.5,491.03640394577667
135.0,720,0.998481944,283.5,491.03640394577667
135.0,730,0.997193388,283.5,491.03640394577667
135.0,740,0.995575574,283.5,491.03640394577667
135.0,750,0.993782597,283.5,491.03640394577667
135.0,760,0.991896455,283.5,491.03640394577667
135.0,770,0.990062943,283.5,491.03640394577667
135.0,780,0.988336426,283.5,491.03640394577667
135.0,790,0.986879229,283.5,491.03640394577667
135.0,800,0.985722385,283.5,491.03640394577667
145.0,650,0.996108227,304.5,527.4094709047231
145.0,660,0.99781758,304.5,527.4094709047231
145.0,670,0.999058578,304.5,527.4094709047231
145.0,680,0.999788196,304.5,527.4094709047231
145.0,690,0.999972902,304.5,527.4094709047231
145.0,700,0.999627802,304.5,527.4094709047231
145.0,710,0.998783421,304.5,527.4094709047231
145.0,720,0.997528495,304.5,527.4094709047231
145.0,730,0.995948318,304.5,527.4094709047231
145.0,740,0.994138559,304.5,527.4094709047231
145.0,750,0.992221988,304.5,527.4094709047231
145.0,760,0.990328894,304.5,527.4094709047231
145.0,770,0.98856867,304.5,527.4094709047231
145.0,780,0.98705256,304.5,527.4094709047231
145.0,790,0.985847233,304.5,527.4094709047231
145.0,800,0.985008078,304.5,527.4094709047231
155.0,650,0.997460026,325.5,563.7825378636695
155.0,660,0.998845923,325.5,563.7825378636695
155.0,670,0.999705078,325.5,563.7825378636695
155.0,680,0.999985145,325.5,563.7825378636695
155.0,690,0.999710019,325.5,563.7825378636695
155.0,700,0.998911974,325.5,563.7825378636695
155.0,710,0.9976703,325.5,563.7825378636695
155.0,720,0.996067542,325.5,563.7825378636695
155.0,730,0.994249478,325.5,563.7825378636695
155.0,740,0.992279991,325.5,563.7825378636695
155.0,750,0.990363511,325.5,563.7825378636695
155.0,760,0.988549198,325.5,563.7825378636695
155.0,770,0.987007819,325.5,563.7825378636695
155.0,780,0.9857706,325.5,563.7825378636695
155.0,790,0.984912205,325.5,563.7825378636695
155.0,800,0.984527765,325.5,563.7825378636695
165.0,650,0.998448663,346.5,600.1556048226159
165.0,660,0.999437455,346.5,600.1556048226159
165.0,670,0.999818534,346.5,600.1556048226159
165.0,680,0.999606021,346.5,600.1556048226159
165.0,690,0.99884012,346.5,600.1556048226159
165.0,700,0.997608159,346.5,600.1556048226159
165.0,710,0.995976956,346.5,600.1556048226159
165.0,720,0.99411338,346.5,600.1556048226159
165.0,730,0.99209698,346.5,600.1556048226159
165.0,740,0.990110503,346.5,600.1556048226159
165.0,750,0.988246632,346.5,600.1556048226159
165.0,760,0.986632998,346.5,600.1556048226159
165.0,770,0.985383083,346.5,600.1556048226159
165.0,780,0.984524222,346.5,600.1556048226159
165.0,790,0.984147775,346.5,600.1556048226159
165.0,800,0.984244414,346.5,600.1556048226159
175.0,650,0.99893188,367.5,636.5286717815624
175.0,660,0.999428629,367.5,636.5286717815624
175.0,670,0.999278095,367.5,636.5286717815624
175.0,680,0.998536655,367.5,636.5286717815624
175.0,690,0.997263024,367.5,636.5286717815624
175.0,700,0.995598719,367.5,636.5286717815624
175.0,710,0.99365467,367.5,636.5286717815624
175.0,720,0.991571537,367.5,636.5286717815624
175.0,730,0.989489819,367.5,636.5286717815624
175.0,740,0.987584449,367.5,636.5286717815624
175.0,750,0.9859497,367.5,636.5286717815624
175.0,760,0.984676288,367.5,636.5286717815624
175.0,770,0.983840807,367.5,636.5286717815624
175.0,780,0.983463739,367.5,636.5286717815624
175.0,790,0.983651274,367.5,636.5286717815624
175.0,800,0.984292402,367.5,636.5286717815624
