ra,rc,T,px,py
290.0,630,0.984247724,609.0,1054.8189418094462
290.0,640,0.986212346,609.0,1054.8189418094462
290.0,650,0.988285484,609.0,1054.8189418094462
290.0,660,0.990379826,609.0,1054.8189418094462
290.0,670,0.99240587,609.0,1054.8189418094462
290.0,680,0.994345007,609.0,1054.8189418094462
290.0,690,0.996098677,609.0,1054.8189418094462
290.0,700,0.997618936,609.0,1054.8189418094462
290.0,710,0.998810631,609.0,1054.8189418094462
290.0,720,0.999625806,609.0,1054.8189418094462
290.0,730,0.999986782,609.0,1054.8189418094462
290.0,740,0.999839975,609.0,1054.8189418094462
290.0,750,0.999147541,609.0,1054.8189418094462
290.0,760,0.997889167,609.0,1054.8189418094462
290.0,770,0.996086985,609.0,1054.8189418094462
290.0,780,0.993745664,609.0,1054.8189418094462
290.0,790,0.990959095,609.0,1054.8189418094462
290.0,800,0.987830112,609.0,1054.8189418094462
300.0,630,0.988654834,630.0,1091.1920087683927
300.0,640,0.990602837,630.0,1091.1920087683927
300.0,650,0.99250341,630.0,1091.1920087683927
300.0,660,0.994321925,630.0,1091.1920087683927
300.0,670,0.995947198,630.0,1091.1920087683927
300.0,680,0.997388896,630.0,1091.1920087683927
300.0,690,0.998563878,630.0,1091.1920087683927
300.0,700,0.999398988,630.0,1091.1920087683927
300.0,710,0.999843271,630.0,1091.1920087683927
300.0,720,0.999831511,630.0,1091.1920087683927
300.0,730,0.999324833,630.0,1091.1920087683927
300.0,740,0.998293543,630.0,1091.1920087683927
300.0,750,0.996736427,630.0,1091.1920087683927
300.0,760,0.994637211,630.0,1091.1920087683927
300.0,770,0.992111292,630.0,1091.1920087683927
300.0,780,0.989158882,630.0,1091.1920087683927
300.0,790,0.985928679,630.0,1091.1920087683927
300.0,800,0.982569399,630.0,1091.1920087683927
310.0,630,0.992223492,651.0,1127.565075727339
310.0,640,0.993922445,651.0,1127.565075727339
310.0,650,0.99548891,651.0,1127.565075727339
310.0,660,0.996873342,651.0,1127.565075727339
310.0,670,0.998030073,651.0,1127.565075727339
310.0,680,0.998893052,651.0,1127.565075727339
310.0,690,0.999420964,651.0,1127.565075727339
310.0,700,0.999558809,651.0,1127.565075727339
