ra,rc,T,px,py
225.0,300,0.958799565,472.5,818.3940065762945
225.0,310,0.960960538,472.5,818.3940065762945
225.0,320,0.963155483,472.5,818.3940065762945
225.0,330,0.965172701,472.5,818.3940065762945
225.0,340,0.967152888,472.5,818.3940065762945
225.0,350,0.968878063,472.5,818.3940065762945
225.0,360,0.970406957,472.5,818.3940065762945
225.0,370,0.971723893,472.5,818.3940065762945
225.0,380,0.972811274,472.5,818.3940065762945
225.0,390,0.973703868,472.5,818.3940065762945
225.0,400,0.974415738,472.5,818.3940065762945
225.0,410,0.975092911,472.5,818.3940065762945
225.0,420,0.975707788,472.5,818.3940065762945
225.0,430,0.976379093,472.5,818.3940065762945
225.0,440,0.977139203,472.5,818.3940065762945
225.0,450,0.978073979,472.5,818.3940065762945
225.0,460,0.979168424,472.5,818.3940065762945
225.0,470,0.980458959,472.5,818.3940065762945
225.0,480,0.981921543,472.5,818.3940065762945
225.0,490,0.983567253,472.5,818.3940065762945
225.0,500,0.985313006,472.5,818.3940065762945
225.0,510,0.987144836,472.5,818.3940065762945
225.0,520,0.988985172,472.5,818.3940065762945
225.0,530,0.990795065,472.5,818.3940065762945
225.0,540,0.992438262,472.5,818.3940065762945
225.0,550,0.993869102,472.5,818.3940065762945
225.0,560,0.994983459,472.5,818.3940065762945
225.0,570,0.995718003,472.5,818.3940065762945
225.0,580,0.996013499,472.5,818.3940065762945
225.0,590,0.995825772,472.5,818.3940065762945
225.0,600,0.995126242,472.5,818.3940065762945
225.0,610,0.993906478,472.5,818.3940065762945
225.0,620,0.992248765,472.5,818.3940065762945
225.0,630,0.990160548,472.5,818.3940065762945
225.0,640,0.987777111,472.5,818.3940065762945
225.0,650,0.985155074,472.5,818.3940065762945
225.0,660,0.98249206,472.5,818.3940065762945
225.0,670,0.979820673,472.5,818.3940065762945
225.0,680,0.977340102,472.5,818.3940065762945
225.0,690,0.97521632,472.5,818.3940065762945
225.0,700,0.973494228,472.5,818.3940065762945
225.0,710,0.972280253,472.5,818.3940065762945
225.0,720,0.971678633,472.5,818.3940065762945
225.0,730,0.971633278,472.5,818.3940065762945
225.0,740,0.972233913,472.5,818.3940065762945
225.0,750,0.973408402,472.5,818.3940065762945
225.0,760,0.975181734,472.5,818.3940065762945
225.0,770,0.977308606,472.5,818.3940065762945
225.0,780,0.979859273,472.5,818.3940065762945
225.0,790,0.982609312,472.5,818.3940065762945
225.0,800,0.985481807,472.5,818.3940065762945
225.0,810,0.988319867,472.5,818.3940065762945
225.0,820,0.991030408,472.5,818.3940065762945
225.0,830,0.993496743,472.5,818.3940065762945
225.0,840,0.995640122,472.5,818.3940065762945
225.0,850,0.997364224,472.5,818.3940065762945
235.0,300,0.964537236,493.5,854.7670735352409
235.0,310,0.9662145,493.5,854.7670735352409
235.0,320,0.967796828,493.5,854.7670735352409
235.0,330,0.969302992,493.5,854.7670735352409
235.0,340,0.970642358,493.5,854.7670735352409
235.0,350,0.971889212,493.5,854.7670735352409
235.0,360,0.972981246,493.5,854.7670735352409
235.0,370,0.973965436,493.5,854.7670735352409
235.0,380,0.974812171,493.5,854.7670735352409
235.0,390,0.975570697,493.5,854.7670735352409
235.0,400,0.976252354,493.5,854.7670735352409
235.0,410,0.976880923,493.5,854.7670735352409
235.0,420,0.977548273,493.5,854.7670735352409
235.0,430,0.978240332,493.5,854.7670735352409
235.0,440,0.97902608,493.5,854.7670735352409
235.0,450,0.979908184,493.5,854.7670735352409
235.0,460,0.980902355,493.5,854.7670735352409
235.0,470,0.98204591,493.5,854.7670735352409
235.0,480,0.983286278,493.5,854.7670735352409
235.0,490,0.984656129,493.5,854.7670735352409
235.0,500,0.986082089,493.5,854.7670735352409
235.0,510,0.987527526,493.5,854.7670735352409
235.0,520,0.988935329,493.5,854.7670735352409
235.0,530,0.990249303,493.5,854.7670735352409
235.0,540,0.99138865,493.5,854.7670735352409
235.0,550,0.9922555,493.5,854.7670735352409
235.0,560,0.992786318,493.5,854.7670735352409
235.0,570,0.992939493,493.5,854.7670735352409
235.0,580,0.992632976,493.5,854.7670735352409
235.0,590,0.991866083,493.5,854.7670735352409
235.0,600,0.990598168,493.5,854.7670735352409
235.0,610,0.988900372,493.5,854.7670735352409
235.0,620,0.986798782,493.5,854.7670735352409
235.0,630,0.984391454,493.5,854.7670735352409
235.0,640,0.981769954,493.5,854.7670735352409
235.0,650,0.979090779,493.5,854.7670735352409
235.0,660,0.976471143,493.5,854.7670735352409
235.0,670,0.974051536,493.5,854.7670735352409
235.0,680,0.971968507,493.5,854.7670735352409
