ra,rc,T,px,py
300.0,330,0.967423687,630.0,1091.1920087683927
300.0,340,0.967118658,630.0,1091.1920087683927
300.0,350,0.967032736,630.0,1091.1920087683927
300.0,360,0.967105545,630.0,1091.1920087683927
300.0,370,0.967366228,630.0,1091.1920087683927
300.0,380,0.967804379,630.0,1091.1920087683927
300.0,390,0.968380883,630.0,1091.1920087683927
300.0,400,0.969056761,630.0,1091.1920087683927
300.0,410,0.969801122,630.0,1091.1920087683927
300.0,420,0.970607331,630.0,1091.1920087683927
300.0,430,0.971376792,630.0,1091.1920087683927
300.0,440,0.972136173,630.0,1091.1920087683927
300.0,450,0.972854311,630.0,1091.1920087683927
300.0,460,0.973485242,630.0,1091.1920087683927
300.0,470,0.974027326,630.0,1091.1920087683927
300.0,480,0.974436115,630.0,1091.1920087683927
300.0,490,0.974794827,630.0,1091.1920087683927
300.0,500,0.975050861,630.0,1091.1920087683927
300.0,510,0.975254659,630.0,1091.1920087683927
300.0,520,0.975494774,630.0,1091.1920087683927
